Course_ID,Term_ID,Season,Available,Credits
Program_D_C10,T7_Fall,Fall,1,3
Program_D_C11,T6_Spring,Spring,0,3
Program_D_C11,T7_Fall,Fall,0,3
Program_D_C12,T6_Spring,Spring,1,4
Program_D_C12,T7_Fall,Fall,0,4
Program_D_C13,T6_Spring,Spring,1,3
Program_D_C13,T7_Fall,Fall,1,3
Program_D_C14,T6_Spring,Spring,1,3
Program_D_C14,T7_Fall,Fall,1,3
Program_D_C15,T6_Spring,Spring,0,3
Program_D_C15,T7_Fall,Fall,1,3
Program_D_C16,T6_Spring,Spring,1,3
Program_D_C16,T7_Fall,Fall,0,3
