Student_ID,Observation_Term,Program_ID,Entry_Type,Academic_Level,Credits_Completed,Prior_Term_GPA,GPA_Change,Course_Pass_Rate_Last_2_Terms,Failed_Courses_Last_2_Terms,Withdrawals_Last_2_Terms,Current_Course_Load_Credits,LMS_Login_Days_4wk,Assignment_Submission_Rate_4wk,Late_Assignment_Rate_4wk,Average_Assignment_Score_4wk,Days_Since_Last_LMS_Activity,Intervention_Needed_Next_8_Weeks
Student_0029,T2_Spring,Program_A,First_Year,2,36,2.46,-0.15,0.941,0,0,15,4.13,0.921,0.133,86.8,3,1.0
Student_0030,T2_Spring,Program_D,Transfer,2,31,2.45,-0.3,0.654,0,0,18,2.84,0.853,0.2,57.4,5,0.0
Student_0031,T2_Spring,Program_D,First_Year,2,36,3.16,0.61,0.941,0,0,15,3.17,0.951,0.0,77.5,2,0.0
Student_0032,T2_Spring,Program_A,Transfer,4,85,2.26,0.46,0.687,2,0,12,4.41,0.905,0.123,62.7,0,0.0
Student_0033,T2_Spring,Program_D,Transfer,1,25,2.84,0.17,0.831,0,0,12,2.18,0.803,0.415,87.8,0,0.0
Student_0034,T2_Spring,Program_B,First_Year,1,9,2.94,1.0,0.7,1,0,9,4.66,1.0,0.026,86.9,0,0.0
Student_0035,T2_Spring,Program_A,First_Year,2,43,2.79,-0.42,0.83,0,0,9,3.28,0.755,0.38,70.3,6,0.0
Student_0036,T2_Spring,Program_A,Transfer,2,51,2.89,-0.12,0.879,0,0,18,2.67,0.78,0.187,83.5,5,0.0
Student_0037,T2_Spring,Program_C,First_Year,1,7,3.12,-1.09,0.837,1,0,9,5.0,0.739,0.245,68.0,1,1.0
Student_0039,T2_Spring,Program_B,First_Year,3,78,2.07,0.59,0.82,0,0,9,3.34,0.991,0.125,67.2,7,0.0
Student_0040,T2_Spring,Program_B,Transfer,1,7,3.28,-0.37,0.996,0,0,18,5.51,1.0,0.199,91.2,0,1.0
Student_0041,T2_Spring,Program_A,First_Year,3,74,1.86,0.02,0.798,0,0,9,3.85,0.904,0.157,76.1,0,0.0
Student_0042,T2_Spring,Program_C,Transfer,2,45,2.73,-0.1,0.897,1,2,15,4.54,0.883,0.178,69.7,2,0.0
Student_0043,T2_Spring,Program_C,First_Year,2,30,2.39,-0.49,0.827,0,0,12,3.92,0.727,0.207,69.9,0,0.0
Student_0044,T2_Spring,Program_D,First_Year,2,54,2.76,-0.1,0.797,1,1,18,4.78,0.813,0.161,83.5,0,1.0
Student_0046,T2_Spring,Program_C,First_Year,1,3,3.83,-0.32,0.829,1,0,15,4.77,0.867,0.04,99.4,2,0.0
Student_0047,T2_Spring,Program_B,First_Year,4,91,2.54,-0.05,0.855,0,0,18,4.07,0.964,0.102,69.3,2,0.0
Student_0048,T2_Spring,Program_A,Transfer,3,66,2.75,-0.25,0.813,0,1,12,2.49,0.67,0.142,72.1,0,0.0
Student_0049,T2_Spring,Program_D,First_Year,2,27,3.34,0.21,0.934,1,0,15,3.38,0.957,0.096,84.4,8,0.0
Student_0050,T2_Spring,Program_D,Transfer,4,105,2.18,0.11,0.988,0,0,15,4.21,1.0,0.111,74.3,2,0.0
Student_0051,T2_Spring,Program_B,Transfer,1,19,3.41,-0.55,0.919,0,0,12,5.14,0.877,0.224,75.6,1,0.0
Student_0053,T2_Spring,Program_B,First_Year,1,14,2.13,0.02,0.79,0,0,18,4.86,0.863,0.273,65.5,0,0.0
Student_0054,T2_Spring,Program_C,Transfer,4,106,2.89,0.27,0.746,1,2,15,4.78,0.9,0.28,73.8,5,0.0
Student_0055,T2_Spring,Program_B,First_Year,4,99,2.83,-0.26,0.654,2,0,15,3.54,0.769,0.174,75.9,3,0.0
Student_0056,T2_Spring,Program_B,Transfer,3,75,2.62,-0.2,0.788,0,0,9,5.44,0.917,0.068,81.3,0,0.0
Student_0057,T2_Spring,Program_A,First_Year,4,108,2.95,-0.01,0.839,1,1,12,5.34,0.906,0.173,74.2,0,0.0
Student_0059,T2_Spring,Program_C,First_Year,1,25,3.62,0.03,0.909,0,1,12,4.85,0.962,0.0,57.9,2,0.0
Student_0060,T2_Spring,Program_A,Transfer,2,53,2.75,-0.34,0.803,1,1,15,3.98,0.914,0.16,70.8,3,0.0
Student_0061,T2_Spring,Program_D,First_Year,2,53,3.09,-0.11,0.883,1,0,12,5.04,0.947,0.055,85.7,0,0.0
Student_0062,T2_Spring,Program_C,Transfer,3,61,1.8,-0.27,0.683,1,0,15,2.93,0.574,0.306,49.0,3,1.0
Student_0063,T2_Spring,Program_B,First_Year,2,36,2.8,-0.03,0.906,0,0,18,5.15,1.0,0.231,84.8,4,0.0
Student_0064,T2_Spring,Program_A,First_Year,4,106,2.62,-0.07,0.915,0,1,15,4.49,0.95,0.0,71.6,3,0.0
Student_0066,T2_Spring,Program_D,First_Year,2,51,2.89,0.71,0.872,0,0,18,4.59,0.943,0.147,98.2,6,0.0
Student_0067,T2_Spring,Program_D,First_Year,1,19,3.56,0.0,0.997,0,1,9,2.46,0.842,0.26,89.2,6,0.0
Student_0069,T2_Spring,Program_D,First_Year,2,52,3.25,0.15,1.0,0,2,15,4.43,0.809,0.086,85.8,0,1.0
Student_0071,T2_Spring,Program_A,Transfer,3,80,2.82,-0.05,0.995,0,0,15,2.79,0.832,0.202,83.6,4,1.0
Student_0072,T2_Spring,Program_D,First_Year,1,13,2.48,-0.31,0.842,0,1,15,3.51,0.834,0.275,65.2,4,0.0
Student_0073,T2_Spring,Program_D,First_Year,4,85,3.18,0.04,0.962,0,0,15,4.22,0.824,0.242,100.0,0,0.0
Student_0074,T2_Spring,Program_D,First_Year,3,67,2.38,0.03,0.919,0,0,15,3.02,0.858,0.188,71.9,3,0.0
Student_0075,T2_Spring,Program_B,First_Year,3,77,2.08,0.21,0.711,1,1,15,5.18,0.91,0.179,58.9,3,1.0
Student_0076,T2_Spring,Program_C,First_Year,1,19,2.48,-0.18,0.792,0,0,15,3.87,0.63,0.215,64.0,1,1.0
Student_0077,T2_Spring,Program_D,Transfer,3,66,2.5,-0.03,0.984,0,1,15,3.83,0.986,0.036,93.6,0,0.0
Student_0080,T2_Spring,Program_C,Transfer,2,29,3.12,0.09,0.997,0,0,15,6.8,1.0,0.039,84.7,0,0.0
Student_0081,T2_Spring,Program_B,First_Year,1,13,3.38,-0.26,0.964,0,1,15,4.33,0.942,0.102,89.9,2,0.0
Student_0084,T2_Spring,Program_A,First_Year,2,41,1.91,-0.64,0.873,1,0,15,4.56,0.928,0.242,77.2,4,0.0
Student_0085,T2_Spring,Program_A,First_Year,2,35,1.92,-0.2,0.535,3,1,9,3.46,0.96,0.373,82.1,4,0.0
Student_0086,T2_Spring,Program_A,First_Year,4,94,2.45,0.3,0.872,0,0,15,4.6,0.998,0.081,73.4,3,0.0
Student_0087,T2_Spring,Program_C,Transfer,1,11,2.45,0.57,0.909,0,1,9,3.24,0.898,0.229,69.1,0,0.0
Student_0088,T2_Spring,Program_D,First_Year,4,107,2.35,0.18,0.859,0,0,15,5.75,1.0,0.099,96.8,1,1.0
Student_0089,T2_Spring,Program_D,First_Year,4,105,2.11,0.08,0.783,0,0,15,3.17,0.812,0.225,81.8,2,1.0
Student_0092,T2_Spring,Program_A,First_Year,2,52,3.3,-0.45,0.958,0,0,9,4.54,0.791,0.241,83.2,1,0.0
Student_0093,T2_Spring,Program_C,First_Year,2,27,2.25,0.28,0.732,1,0,18,4.58,0.922,0.056,50.5,0,0.0
Student_0094,T2_Spring,Program_B,First_Year,3,80,2.81,0.49,0.83,0,0,15,6.23,1.0,0.0,77.9,0,0.0
Student_0095,T2_Spring,Program_B,Transfer,4,108,2.91,-0.2,0.913,0,1,12,4.41,0.858,0.246,87.7,2,0.0
Student_0097,T2_Spring,Program_A,First_Year,4,103,1.63,-0.13,0.623,1,1,15,3.37,0.948,0.088,65.9,2,1.0
Student_0098,T2_Spring,Program_D,First_Year,2,29,2.13,0.86,0.891,0,0,15,5.84,1.0,0.0,81.3,0,0.0
Student_0099,T2_Spring,Program_D,First_Year,4,89,3.43,-0.23,0.839,0,0,12,3.9,0.912,0.241,71.8,0,0.0
Student_0100,T2_Spring,Program_A,First_Year,1,16,3.92,0.17,0.814,1,0,9,3.84,0.918,0.168,98.1,4,0.0
Student_0102,T2_Spring,Program_B,First_Year,3,74,2.89,-0.13,0.807,0,1,15,4.67,0.823,0.155,79.8,3,0.0
Student_0103,T2_Spring,Program_D,Transfer,3,73,2.85,0.17,0.888,0,0,15,5.05,0.976,0.15,79.1,3,0.0
Student_0104,T2_Spring,Program_B,Transfer,2,34,3.66,0.49,1.0,0,0,15,3.49,1.0,0.086,95.9,0,0.0
Student_0105,T2_Spring,Program_A,Transfer,1,1,1.81,0.13,0.841,0,0,12,4.15,0.813,0.152,45.5,0,0.0
Student_0106,T2_Spring,Program_C,First_Year,1,15,4.0,0.24,1.0,0,0,15,4.19,0.796,0.267,98.1,1,0.0
Student_0107,T2_Spring,Program_D,Transfer,1,25,2.98,-0.23,0.507,3,2,15,1.98,0.819,0.148,78.3,2,1.0
Student_0108,T2_Spring,Program_C,Transfer,3,66,2.71,-0.26,0.934,0,0,12,2.98,0.831,0.188,68.9,1,0.0
Student_0109,T2_Spring,Program_A,First_Year,3,61,3.16,0.64,1.0,0,0,12,4.32,1.0,0.01,100.0,1,0.0
Student_0111,T2_Spring,Program_C,First_Year,4,101,2.54,-0.3,0.792,0,1,12,5.01,0.8,0.258,83.0,0,0.0
Student_0112,T2_Spring,Program_B,First_Year,1,7,1.77,-0.43,0.796,0,1,12,3.67,0.869,0.255,48.4,2,1.0
Student_0113,T2_Spring,Program_D,First_Year,1,23,2.35,0.05,0.797,0,0,15,4.2,0.881,0.241,74.5,4,0.0
Student_0114,T2_Spring,Program_B,First_Year,2,38,2.71,0.81,0.837,1,0,15,3.69,1.0,0.082,72.7,7,0.0
Student_0115,T2_Spring,Program_A,Transfer,3,79,2.26,0.61,0.763,0,1,12,4.24,0.823,0.373,87.0,2,0.0
Student_0116,T2_Spring,Program_C,First_Year,3,62,2.58,0.26,0.806,1,0,9,4.64,1.0,0.238,60.9,0,0.0
Student_0119,T2_Spring,Program_C,Transfer,4,91,1.45,0.01,0.694,1,0,15,4.6,0.919,0.271,64.8,2,0.0
Student_0120,T2_Spring,Program_D,First_Year,3,79,2.47,-0.05,0.766,2,0,15,4.12,0.803,0.227,79.8,3,0.0
Student_0121,T2_Spring,Program_C,First_Year,4,105,1.97,-0.4,0.663,1,0,15,0.58,0.777,0.317,65.3,9,0.0
Student_0122,T2_Spring,Program_A,First_Year,3,79,1.41,-0.23,0.741,0,0,15,5.03,0.818,0.385,54.4,1,1.0
Student_0124,T2_Spring,Program_B,Transfer,3,81,3.01,0.03,0.972,0,0,15,7.0,1.0,0.061,84.4,0,0.0
Student_0126,T2_Spring,Program_D,First_Year,3,62,2.15,-0.11,0.492,2,0,12,4.48,0.916,0.089,68.3,1,0.0
Student_0127,T2_Spring,Program_C,Transfer,1,27,2.09,-0.16,0.776,0,0,15,2.05,0.924,0.388,55.1,0,0.0
Student_0128,T2_Spring,Program_B,First_Year,2,27,2.86,0.17,0.798,2,0,15,4.31,0.939,0.171,79.3,0,0.0
Student_0131,T2_Spring,Program_B,Transfer,3,57,2.17,0.05,0.923,1,0,18,2.64,0.778,0.21,78.9,2,0.0
Student_0132,T2_Spring,Program_C,Transfer,3,74,2.36,0.74,0.867,0,0,15,4.74,0.827,0.093,74.4,0,0.0
Student_0133,T2_Spring,Program_A,Transfer,3,66,3.24,-0.4,0.857,0,0,18,3.49,0.784,0.074,78.6,4,0.0
Student_0134,T2_Spring,Program_C,First_Year,2,52,3.34,0.01,0.777,0,1,15,2.35,0.748,0.333,59.1,5,0.0
Student_0135,T2_Spring,Program_A,First_Year,4,101,2.61,0.22,0.932,0,1,15,4.09,0.975,0.157,80.5,0,0.0
Student_0136,T2_Spring,Program_D,Transfer,4,94,0.88,-0.08,0.661,0,1,15,4.55,0.852,0.304,71.9,2,0.0
Student_0137,T2_Spring,Program_A,First_Year,4,81,3.19,0.05,0.931,0,0,12,4.04,0.786,0.134,88.9,2,0.0
Student_0138,T2_Spring,Program_A,First_Year,2,46,2.9,0.42,0.86,0,0,12,5.45,1.0,0.076,89.4,3,0.0
Student_0140,T2_Spring,Program_A,First_Year,2,31,2.06,0.54,0.833,0,2,12,2.84,0.993,0.196,78.7,3,1.0
Student_0141,T2_Spring,Program_B,Transfer,2,31,3.41,0.19,0.861,0,0,18,2.9,0.858,0.232,86.4,2,0.0
Student_0142,T2_Spring,Program_D,Transfer,4,106,3.0,0.08,0.834,1,0,18,5.33,1.0,0.0,72.7,1,0.0
Student_0143,T2_Spring,Program_D,First_Year,2,39,3.24,0.61,0.976,0,0,15,5.37,0.977,0.008,100.0,3,0.0
Student_0144,T2_Spring,Program_D,First_Year,2,42,3.28,0.09,1.0,0,0,15,5.03,1.0,0.079,88.9,0,0.0
Student_0145,T2_Spring,Program_A,First_Year,4,90,3.02,-0.09,0.854,0,0,15,5.28,1.0,0.0,75.1,2,0.0
Student_0146,T2_Spring,Program_B,First_Year,2,39,2.78,-0.1,0.83,0,0,15,5.12,0.915,0.057,75.8,2,0.0
Student_0147,T2_Spring,Program_D,First_Year,1,20,2.78,0.05,0.925,0,1,15,5.45,0.946,0.188,83.3,0,0.0
Student_0148,T2_Spring,Program_D,First_Year,4,91,2.12,0.07,0.674,1,0,15,6.82,0.92,0.077,67.5,0,0.0
Student_0150,T2_Spring,Program_C,First_Year,3,71,2.47,0.36,0.768,1,0,9,6.01,0.947,0.095,66.5,0,0.0
Student_0151,T2_Spring,Program_B,Transfer,3,54,3.05,0.24,0.903,1,0,15,3.82,0.968,0.0,82.5,2,0.0
Student_0153,T2_Spring,Program_C,Transfer,4,87,2.78,-0.32,0.712,1,1,15,3.33,0.767,0.364,68.8,0,0.0
Student_0154,T2_Spring,Program_D,Transfer,3,79,2.69,0.45,0.997,0,0,15,4.28,0.887,0.234,93.8,4,0.0
Student_0155,T2_Spring,Program_D,Transfer,2,39,3.95,-0.11,1.0,0,0,18,2.89,0.89,0.187,100.0,2,1.0
Student_0156,T2_Spring,Program_A,Transfer,1,4,2.43,-0.0,0.836,0,0,12,4.71,0.824,0.19,92.4,0,0.0
Student_0157,T2_Spring,Program_C,Transfer,1,27,2.14,-0.15,0.754,0,1,15,3.87,0.862,0.286,71.5,3,0.0
Student_0158,T2_Spring,Program_A,First_Year,2,46,3.17,0.41,0.825,1,0,15,5.82,0.961,0.091,94.3,1,0.0
Student_0159,T2_Spring,Program_B,Transfer,1,15,2.02,0.59,0.771,1,0,18,3.92,0.972,0.025,80.8,1,0.0
Student_0160,T2_Spring,Program_D,First_Year,1,23,2.4,0.08,0.776,0,1,15,3.05,0.752,0.318,78.0,3,0.0
Student_0161,T2_Spring,Program_A,First_Year,1,24,2.17,0.1,0.799,1,1,15,4.28,0.821,0.158,76.8,2,0.0
Student_0162,T2_Spring,Program_C,First_Year,3,65,3.01,-0.22,0.938,0,0,18,3.08,0.815,0.309,89.9,1,0.0
Student_0164,T2_Spring,Program_C,First_Year,2,40,3.3,0.02,0.871,0,0,15,6.44,1.0,0.187,87.5,0,0.0
Student_0165,T2_Spring,Program_A,First_Year,4,98,2.21,0.22,0.805,1,0,15,2.27,0.806,0.349,68.4,2,0.0
Student_0168,T2_Spring,Program_D,First_Year,3,69,3.07,0.95,0.963,0,1,15,4.28,0.989,0.107,100.0,3,0.0
Student_0170,T2_Spring,Program_C,Transfer,1,26,3.01,-0.73,0.871,0,0,9,3.09,0.971,0.284,64.9,0,0.0
Student_0171,T2_Spring,Program_C,Transfer,2,39,3.24,0.24,1.0,0,1,15,4.26,0.934,0.12,88.6,1,0.0
Student_0174,T2_Spring,Program_A,First_Year,3,75,2.35,-0.13,0.867,0,0,15,3.72,0.741,0.13,73.0,0,0.0
Student_0176,T2_Spring,Program_D,First_Year,4,99,2.67,0.11,0.836,1,0,15,5.2,0.956,0.0,84.5,0,0.0
Student_0177,T2_Spring,Program_D,Transfer,3,60,1.99,-0.1,0.904,0,0,15,3.75,0.979,0.173,74.6,2,0.0
Student_0178,T2_Spring,Program_B,First_Year,1,0,2.83,0.44,0.954,0,1,15,4.63,0.98,0.154,79.8,0,0.0
Student_0179,T2_Spring,Program_C,First_Year,1,13,3.22,-0.4,0.833,0,0,9,4.92,0.804,0.233,90.0,1,1.0
Student_0180,T2_Spring,Program_A,Transfer,2,45,3.23,0.74,0.869,0,1,12,5.62,0.885,0.027,91.8,3,1.0
Student_0181,T2_Spring,Program_C,Transfer,2,41,2.84,-0.12,0.766,0,0,9,2.85,0.839,0.246,77.7,5,0.0
Student_0183,T2_Spring,Program_D,First_Year,2,34,2.05,-0.1,0.688,1,1,15,2.68,0.768,0.328,85.1,0,1.0
Student_0185,T2_Spring,Program_B,First_Year,2,48,2.3,-0.04,0.933,0,0,15,4.5,0.931,0.091,88.4,2,0.0
Student_0187,T2_Spring,Program_D,First_Year,1,24,3.12,0.16,1.0,0,0,15,3.08,0.993,0.128,79.4,3,0.0
Student_0188,T2_Spring,Program_D,First_Year,3,70,3.23,0.43,0.957,0,0,15,5.45,0.93,0.072,85.7,0,0.0
Student_0189,T2_Spring,Program_C,First_Year,3,70,2.71,-0.06,0.678,2,0,15,1.92,0.891,0.145,57.4,3,1.0
Student_0190,T2_Spring,Program_D,Transfer,3,75,1.8,-0.07,0.721,1,1,12,4.01,0.849,0.268,81.3,2,0.0
Student_0191,T2_Spring,Program_C,First_Year,4,106,2.95,-0.01,0.856,1,1,18,4.19,0.91,0.025,56.8,0,0.0
Student_0192,T2_Spring,Program_B,First_Year,2,36,2.45,-0.23,0.711,1,1,15,1.93,0.8,0.207,87.2,7,1.0
Student_0193,T2_Spring,Program_C,Transfer,3,63,2.74,-0.05,0.914,0,0,15,4.77,0.875,0.157,73.3,5,0.0
Student_0194,T2_Spring,Program_A,First_Year,3,81,2.58,-0.46,0.822,0,0,18,3.86,0.853,0.135,76.9,0,0.0
Student_0195,T2_Spring,Program_D,First_Year,3,81,3.11,0.18,0.784,0,0,15,2.08,0.809,0.283,87.4,4,0.0
Student_0197,T2_Spring,Program_B,First_Year,1,7,3.14,0.05,0.909,1,0,18,3.11,0.901,0.039,88.2,3,0.0
Student_0198,T2_Spring,Program_B,First_Year,1,4,2.94,-0.22,0.822,1,0,12,4.08,0.927,0.183,94.4,5,1.0
Student_0199,T2_Spring,Program_A,First_Year,4,89,2.05,0.1,0.574,1,0,12,3.46,1.0,0.176,70.5,3,0.0
Student_0200,T2_Spring,Program_B,First_Year,1,27,2.47,-0.01,0.822,0,0,12,3.86,0.947,0.22,70.1,0,0.0
Student_0201,T2_Spring,Program_A,Transfer,3,79,1.88,0.34,0.716,1,0,12,4.59,0.984,0.086,78.3,0,0.0
Student_0202,T2_Spring,Program_A,Transfer,1,1,3.08,-0.23,0.916,0,0,15,3.16,0.755,0.281,76.9,8,1.0
Student_0203,T2_Spring,Program_D,Transfer,1,0,3.07,0.53,0.968,0,0,12,4.16,0.806,0.155,94.3,6,0.0
Student_0204,T2_Spring,Program_B,First_Year,2,46,2.69,0.02,0.776,0,0,12,2.4,0.847,0.391,65.0,5,0.0
Student_0205,T2_Spring,Program_D,First_Year,1,4,3.26,-0.29,0.917,0,0,12,2.65,0.872,0.298,83.3,2,0.0
Student_0206,T2_Spring,Program_C,First_Year,1,25,1.85,0.19,0.731,0,1,12,3.43,0.8,0.058,56.9,1,0.0
Student_0207,T2_Spring,Program_D,First_Year,1,27,2.7,-0.49,0.78,1,1,12,2.9,0.943,0.0,49.5,0,0.0
Student_0208,T2_Spring,Program_A,First_Year,2,51,3.02,0.13,0.751,0,0,15,3.23,0.687,0.264,79.0,3,0.0
Student_0209,T2_Spring,Program_B,Transfer,3,79,3.31,0.76,0.911,0,1,12,4.61,0.846,0.084,100.0,0,0.0
Student_0211,T2_Spring,Program_B,Transfer,1,9,2.93,0.08,0.739,2,1,15,5.04,0.873,0.166,78.1,4,0.0
Student_0214,T2_Spring,Program_D,First_Year,1,9,2.27,0.07,0.791,0,0,15,4.34,0.954,0.207,69.4,4,0.0
Student_0215,T2_Spring,Program_D,First_Year,4,107,2.09,0.13,0.803,1,0,9,3.54,0.785,0.269,68.8,0,1.0
Student_0216,T2_Spring,Program_D,First_Year,4,93,3.69,0.03,0.944,0,0,15,4.01,0.844,0.292,77.1,0,0.0
Student_0217,T2_Spring,Program_D,First_Year,1,25,3.1,0.06,0.91,0,0,15,5.12,0.969,0.084,75.4,0,0.0
Student_0219,T2_Spring,Program_B,Transfer,2,43,3.91,0.47,1.0,0,1,15,6.24,1.0,0.0,90.8,3,0.0
Student_0220,T2_Spring,Program_A,Transfer,1,12,1.96,0.34,0.676,1,0,15,3.1,0.84,0.192,60.8,2,0.0
Student_0221,T2_Spring,Program_C,First_Year,2,35,2.76,0.31,0.919,0,0,18,3.7,0.952,0.122,97.6,1,0.0
Student_0222,T2_Spring,Program_A,Transfer,1,19,2.14,-0.17,0.687,1,1,15,4.11,0.877,0.266,67.3,2,1.0
Student_0223,T2_Spring,Program_C,First_Year,1,17,2.95,-0.23,0.72,1,0,12,5.95,0.838,0.251,84.7,0,1.0
Student_0224,T2_Spring,Program_A,Transfer,1,17,2.28,-0.08,0.902,0,0,15,4.01,0.803,0.113,75.2,5,0.0
Student_0225,T2_Spring,Program_D,First_Year,3,77,2.55,0.42,0.89,0,1,18,3.7,0.886,0.017,78.5,7,0.0
Student_0226,T2_Spring,Program_C,First_Year,4,89,2.93,0.45,0.824,0,0,15,4.87,1.0,0.079,82.7,0,0.0
Student_0227,T2_Spring,Program_A,First_Year,1,18,2.45,-0.11,0.786,0,0,12,3.38,0.856,0.128,74.7,2,0.0
Student_0229,T2_Spring,Program_A,First_Year,4,95,2.49,-1.08,0.83,0,0,12,3.59,0.848,0.225,78.7,0,1.0
Student_0231,T2_Spring,Program_C,Transfer,4,90,2.86,0.37,0.934,0,0,15,3.8,0.959,0.194,89.8,2,0.0
Student_0232,T2_Spring,Program_D,First_Year,4,92,3.57,0.35,0.842,1,0,12,6.0,0.804,0.251,90.5,1,0.0
Student_0234,T2_Spring,Program_D,First_Year,1,17,3.53,-0.37,0.958,0,0,15,4.95,0.763,0.163,84.9,0,0.0
Student_0235,T2_Spring,Program_A,First_Year,1,19,2.23,0.25,0.846,0,0,12,4.11,0.996,0.009,60.8,0,0.0
Student_0238,T2_Spring,Program_A,Transfer,1,9,2.46,-0.68,0.742,0,1,12,4.79,0.704,0.273,67.9,2,0.0
Student_0240,T2_Spring,Program_B,First_Year,1,3,2.89,0.11,0.909,0,0,15,4.12,0.862,0.166,81.3,1,0.0
Student_0241,T2_Spring,Program_A,First_Year,4,101,3.07,0.6,0.616,2,1,18,5.48,1.0,0.051,84.3,2,1.0
Student_0242,T2_Spring,Program_A,First_Year,4,99,2.37,0.24,0.839,0,0,15,4.06,0.756,0.216,70.3,5,1.0
Student_0243,T2_Spring,Program_D,First_Year,1,8,3.59,0.16,0.83,0,0,18,4.27,0.859,0.148,85.9,3,0.0
Student_0244,T2_Spring,Program_A,First_Year,3,78,2.67,0.43,0.844,1,0,15,4.06,0.967,0.033,92.8,5,0.0
Student_0245,T2_Spring,Program_C,First_Year,3,62,2.13,0.51,0.848,0,1,12,3.25,0.771,0.243,79.6,5,1.0
Student_0246,T2_Spring,Program_B,Transfer,2,41,2.05,-0.85,0.922,0,0,12,5.45,0.871,0.0,55.6,5,1.0
Student_0247,T2_Spring,Program_D,First_Year,4,95,2.84,0.42,0.804,0,0,15,5.09,0.878,0.159,73.3,4,0.0
Student_0248,T2_Spring,Program_A,First_Year,4,88,3.88,0.09,1.0,0,0,18,4.43,0.98,0.146,94.8,0,0.0
Student_0250,T2_Spring,Program_C,First_Year,2,36,2.82,-0.28,0.825,1,1,15,4.61,0.841,0.227,92.3,2,1.0
Student_0251,T2_Spring,Program_B,Transfer,3,54,3.15,0.9,0.96,0,0,15,4.36,1.0,0.037,100.0,1,0.0
Student_0253,T2_Spring,Program_D,Transfer,4,93,2.77,1.0,0.724,1,0,18,4.43,0.951,0.279,80.0,2,0.0
Student_0254,T2_Spring,Program_B,First_Year,2,50,2.73,-0.36,0.749,0,2,12,3.55,0.736,0.377,78.1,1,0.0
Student_0255,T2_Spring,Program_A,First_Year,3,60,2.47,-0.45,0.84,1,0,15,3.26,0.693,0.32,51.7,2,1.0
Student_0256,T2_Spring,Program_B,Transfer,3,62,2.39,-0.1,0.88,1,0,18,6.75,1.0,0.262,74.0,2,0.0
