Student_ID,Term_ID,Week,LMS_Login_Days,Assignments_Due,Assignments_Submitted,Assignments_Late,Average_Assignment_Score,Days_Since_Last_Activity
Student_0007,T2_Spring,2,3.4,2,2,1,82.4,0
Student_0007,T2_Spring,3,2.7,3,2,1,89.0,4
Student_0007,T2_Spring,4,3.1,3,3,1,82.5,0
Student_0007,T2_Spring,5,4.2,2,2,1,92.9,2
Student_0007,T2_Spring,6,3.0,3,2,1,81.2,2
Student_0008,T2_Spring,1,4.0,4,3,0,100.0,3
Student_0008,T2_Spring,2,3.2,5,5,1,100.0,6
Student_0008,T2_Spring,3,2.8,4,3,1,100.0,5
Student_0008,T2_Spring,4,2.7,3,3,0,92.0,3
Student_0008,T2_Spring,5,2.2,5,4,1,100.0,5
Student_0008,T2_Spring,6,2.9,2,2,0,100.0,4
Student_0009,T2_Spring,1,2.9,5,4,0,95.8,4
Student_0009,T2_Spring,2,3.1,5,4,1,96.0,6
Student_0009,T2_Spring,3,2.8,2,2,0,95.8,7
Student_0009,T2_Spring,4,4.0,2,2,0,95.9,7
Student_0009,T2_Spring,5,4.8,2,2,0,93.3,3
Student_0009,T2_Spring,6,4.0,2,1,0,100.0,7
Student_0010,T2_Spring,1,7.0,5,5,0,56.9,0
Student_0010,T2_Spring,2,5.9,5,5,0,76.5,1
Student_0010,T2_Spring,3,6.6,5,5,0,77.9,0
Student_0010,T2_Spring,4,6.3,2,2,0,67.1,0
Student_0010,T2_Spring,5,7.0,2,2,0,78.6,1
Student_0010,T2_Spring,6,7.0,3,3,0,72.8,0
Student_0011,T2_Spring,1,5.7,2,2,0,94.2,1
Student_0011,T2_Spring,2,5.7,5,4,0,89.3,4
Student_0011,T2_Spring,3,5.5,2,2,0,89.9,4
Student_0011,T2_Spring,4,5.6,3,3,0,75.9,0
Student_0011,T2_Spring,5,5.5,3,3,0,75.6,3
Student_0011,T2_Spring,6,6.0,2,2,0,71.7,2
Student_0012,T2_Spring,1,5.5,5,4,1,85.4,3
Student_0012,T2_Spring,2,5.9,4,3,1,81.9,0
Student_0012,T2_Spring,3,5.1,2,2,1,86.4,0
Student_0012,T2_Spring,4,4.4,5,4,1,82.2,2
Student_0012,T2_Spring,5,4.9,5,4,1,92.4,2
Student_0012,T2_Spring,6,5.4,3,2,1,83.0,0
Student_0013,T2_Spring,1,4.5,2,2,0,78.5,1
Student_0013,T2_Spring,2,4.0,2,2,0,83.7,0
Student_0013,T2_Spring,3,2.8,4,3,1,82.0,1
Student_0013,T2_Spring,4,3.3,3,2,0,89.7,0
Student_0013,T2_Spring,5,3.8,4,4,1,75.9,2
Student_0013,T2_Spring,6,4.0,3,2,0,70.9,3
Student_0014,T2_Spring,1,3.4,2,2,0,90.2,0
Student_0014,T2_Spring,2,4.5,2,2,0,90.8,0
Student_0014,T2_Spring,3,4.8,5,4,0,94.4,2
Student_0014,T2_Spring,4,4.2,5,5,0,91.7,0
Student_0014,T2_Spring,5,3.8,4,4,0,96.0,0
Student_0014,T2_Spring,6,4.4,5,5,0,87.0,0
Student_0015,T2_Spring,1,2.9,4,3,1,83.1,1
Student_0015,T2_Spring,2,4.8,5,3,1,70.5,1
Student_0015,T2_Spring,3,3.4,4,3,0,81.6,0
Student_0015,T2_Spring,4,2.3,5,4,1,76.0,0
Student_0015,T2_Spring,5,4.0,2,2,0,75.8,1
Student_0015,T2_Spring,6,3.7,3,2,0,72.2,1
Student_0016,T2_Spring,1,5.3,3,3,1,88.9,7
Student_0016,T2_Spring,2,3.2,5,5,1,80.5,5
Student_0016,T2_Spring,3,3.6,5,4,1,81.7,4
Student_0016,T2_Spring,4,3.9,2,2,1,98.9,6
Student_0016,T2_Spring,5,3.1,4,4,1,75.9,4
Student_0016,T2_Spring,6,4.2,3,3,1,85.1,8
Student_0017,T2_Spring,1,4.5,5,4,1,82.6,4
Student_0017,T2_Spring,2,4.9,3,2,0,71.5,0
Student_0017,T2_Spring,3,5.4,3,2,1,89.9,4
Student_0017,T2_Spring,4,5.0,3,2,1,89.5,2
Student_0017,T2_Spring,5,4.2,5,4,1,89.3,3
Student_0017,T2_Spring,6,4.4,4,3,1,86.7,4
Student_0018,T2_Spring,1,4.9,4,4,0,73.3,2
Student_0018,T2_Spring,2,6.1,3,3,0,64.9,0
Student_0018,T2_Spring,3,6.2,3,3,0,57.3,1
Student_0018,T2_Spring,4,5.1,5,4,0,65.6,3
Student_0018,T2_Spring,5,6.5,2,2,0,68.5,1
Student_0018,T2_Spring,6,5.9,2,2,0,62.2,3
Student_0019,T2_Spring,1,2.9,2,1,0,69.2,0
Student_0019,T2_Spring,2,3.0,3,2,0,66.3,0
Student_0019,T2_Spring,3,3.3,4,3,1,65.0,1
Student_0019,T2_Spring,4,3.9,3,2,0,77.0,1
Student_0019,T2_Spring,5,4.2,4,3,0,60.6,0
Student_0019,T2_Spring,6,3.9,5,4,0,69.0,2
Student_0020,T2_Spring,1,2.7,4,4,0,68.5,5
Student_0020,T2_Spring,2,3.0,2,2,0,62.3,4
Student_0020,T2_Spring,3,5.7,4,4,0,76.3,3
Student_0020,T2_Spring,4,4.0,5,4,0,63.9,4
Student_0020,T2_Spring,5,4.7,2,2,0,58.0,3
Student_0020,T2_Spring,6,3.8,3,3,0,63.9,2
Student_0021,T2_Spring,1,3.3,4,3,1,72.8,3
Student_0021,T2_Spring,2,3.1,4,3,1,67.2,4
Student_0021,T2_Spring,3,3.7,2,2,1,78.6,1
Student_0021,T2_Spring,4,3.2,2,2,1,90.5,2
Student_0021,T2_Spring,5,3.8,3,2,1,75.7,3
Student_0021,T2_Spring,6,2.8,2,2,1,88.9,1
Student_0022,T2_Spring,1,4.4,5,4,1,87.7,3
Student_0022,T2_Spring,2,3.2,3,2,1,93.5,1
Student_0022,T2_Spring,3,4.4,2,1,0,91.6,3
Student_0022,T2_Spring,4,3.9,2,2,1,90.8,4
Student_0022,T2_Spring,5,4.0,3,2,0,92.6,4
Student_0022,T2_Spring,6,3.0,5,4,1,100.0,2
Student_0023,T2_Spring,1,6.3,3,2,0,64.8,2
Student_0023,T2_Spring,2,6.4,5,4,1,73.1,1
Student_0023,T2_Spring,3,6.1,2,2,0,76.2,0
Student_0023,T2_Spring,4,5.7,4,3,1,67.5,0
Student_0023,T2_Spring,5,6.7,2,2,1,68.9,1
Student_0023,T2_Spring,6,5.0,5,4,1,78.5,0
Student_0024,T2_Spring,1,5.7,2,2,0,100.0,1
Student_0024,T2_Spring,2,5.3,5,5,0,95.9,0
Student_0024,T2_Spring,3,5.5,5,5,0,96.6,0
Student_0024,T2_Spring,4,5.9,2,2,0,100.0,0
Student_0024,T2_Spring,5,5.8,4,4,0,94.8,0
Student_0024,T2_Spring,6,6.6,3,3,0,96.9,0
Student_0025,T2_Spring,1,4.9,2,2,0,78.8,6
Student_0025,T2_Spring,2,4.7,5,4,1,80.0,2
Student_0025,T2_Spring,3,4.7,3,2,0,67.6,4
Student_0025,T2_Spring,4,3.5,4,4,1,76.3,5
Student_0025,T2_Spring,5,3.4,5,4,1,71.7,2
Student_0025,T2_Spring,6,4.0,3,3,1,76.8,6
Student_0026,T2_Spring,1,3.6,3,3,1,81.2,0
Student_0026,T2_Spring,2,5.3,5,5,0,82.6,1
Student_0026,T2_Spring,3,1.6,3,3,0,84.4,0
Student_0026,T2_Spring,4,3.8,3,3,1,91.9,0
Student_0026,T2_Spring,5,3.1,3,3,1,98.8,0
Student_0026,T2_Spring,6,3.2,2,2,0,80.8,0
Student_0027,T2_Spring,1,5.2,2,2,1,79.3,1
Student_0027,T2_Spring,2,4.8,3,3,1,77.9,1
Student_0027,T2_Spring,3,4.4,2,2,0,83.2,0
Student_0027,T2_Spring,4,4.6,3,3,1,82.7,0
Student_0027,T2_Spring,5,3.3,5,5,1,91.2,0
Student_0027,T2_Spring,6,6.5,5,4,1,80.4,1
Student_0028,T2_Spring,1,4.3,3,2,1,76.2,6
Student_0028,T2_Spring,2,2.5,2,2,0,90.7,3
Student_0028,T2_Spring,3,3.1,2,2,1,96.4,5
Student_0028,T2_Spring,4,3.2,5,4,1,84.7,4
Student_0028,T2_Spring,5,3.2,3,3,1,92.4,5
Student_0028,T2_Spring,6,3.8,3,2,1,97.1,6
Student_0029,T2_Spring,1,3.4,5,4,1,90.7,1
Student_0029,T2_Spring,2,3.9,4,4,1,86.4,5
Student_0029,T2_Spring,3,3.6,4,3,0,93.6,4
Student_0029,T2_Spring,4,4.1,2,2,0,91.3,3
Student_0029,T2_Spring,5,3.8,2,2,0,83.2,3
Student_0029,T2_Spring,6,3.5,5,4,0,79.6,1
Student_0030,T2_Spring,1,3.0,5,5,1,54.2,7
Student_0030,T2_Spring,2,2.4,5,4,1,60.0,5
Student_0030,T2_Spring,3,1.9,2,2,0,49.9,7
Student_0030,T2_Spring,4,2.4,2,2,0,55.9,7
Student_0030,T2_Spring,5,2.8,3,3,0,60.7,7
Student_0030,T2_Spring,6,3.9,2,2,0,64.7,5
Student_0031,T2_Spring,1,2.5,2,2,0,77.2,2
Student_0031,T2_Spring,2,3.0,2,2,0,87.5,0
Student_0031,T2_Spring,3,3.2,2,2,0,69.0,2
Student_0031,T2_Spring,4,2.6,2,2,0,80.5,4
Student_0031,T2_Spring,5,1.9,4,4,0,76.0,0
Student_0031,T2_Spring,6,3.1,2,2,0,71.2,0
Student_0032,T2_Spring,1,5.7,3,3,0,65.5,0
Student_0032,T2_Spring,2,4.6,3,3,0,68.3,1
Student_0032,T2_Spring,3,5.0,4,4,0,44.2,0
Student_0032,T2_Spring,4,5.1,2,2,0,67.2,0
Student_0032,T2_Spring,5,3.4,5,5,0,57.0,0
Student_0032,T2_Spring,6,3.5,4,4,0,65.8,2
Student_0033,T2_Spring,1,2.4,3,2,1,80.4,0
Student_0033,T2_Spring,2,1.8,3,3,1,85.8,2
Student_0033,T2_Spring,3,1.1,5,4,1,77.4,2
Student_0033,T2_Spring,4,2.3,3,2,1,81.6,2
Student_0033,T2_Spring,5,1.8,5,4,2,89.4,0
Student_0033,T2_Spring,6,2.5,4,3,1,88.2,2
Student_0034,T2_Spring,1,4.8,4,4,0,86.3,0
Student_0034,T2_Spring,2,4.4,4,4,0,94.0,2
Student_0034,T2_Spring,3,4.9,2,2,0,88.5,0
Student_0034,T2_Spring,4,4.5,4,4,0,83.9,0
Student_0034,T2_Spring,5,6.0,2,2,0,95.0,0
Student_0034,T2_Spring,6,3.8,2,2,0,84.7,0
Student_0035,T2_Spring,1,2.4,4,3,1,63.8,5
Student_0035,T2_Spring,2,2.8,4,3,1,73.4,4
Student_0035,T2_Spring,3,4.0,5,4,1,72.5,4
Student_0035,T2_Spring,4,4.1,3,2,1,77.5,4
Student_0035,T2_Spring,5,3.4,4,3,1,79.2,8
Student_0035,T2_Spring,6,4.2,5,4,2,79.5,8
Student_0036,T2_Spring,1,1.2,4,3,0,93.6,7
Student_0036,T2_Spring,2,3.0,5,4,1,80.3,3
Student_0036,T2_Spring,3,3.3,2,1,0,80.2,6
Student_0036,T2_Spring,4,2.4,3,2,0,76.4,6
Student_0036,T2_Spring,5,2.4,3,3,1,84.3,3
Student_0036,T2_Spring,6,2.8,2,2,0,80.3,3
Student_0037,T2_Spring,1,4.4,2,1,0,70.5,0
Student_0037,T2_Spring,2,5.2,2,2,0,57.8,2
Student_0037,T2_Spring,3,5.3,4,3,1,74.6,0
Student_0037,T2_Spring,4,6.3,3,2,0,59.9,0
Student_0037,T2_Spring,5,5.2,3,2,1,68.3,0
Student_0037,T2_Spring,6,3.7,3,2,1,52.5,0
Student_0038,T2_Spring,1,3.6,3,2,0,82.6,2
Student_0038,T2_Spring,2,4.1,4,3,0,75.4,1
Student_0038,T2_Spring,3,3.8,5,4,0,74.0,1
Student_0038,T2_Spring,4,3.6,3,2,0,71.6,3
Student_0038,T2_Spring,5,3.9,4,3,0,79.1,2
Student_0038,T2_Spring,6,3.5,2,2,0,73.7,4
Student_0039,T2_Spring,1,3.6,3,3,0,62.3,7
Student_0039,T2_Spring,2,2.6,5,5,1,72.9,6
Student_0039,T2_Spring,3,4.0,3,3,0,78.3,9
Student_0039,T2_Spring,4,2.9,3,3,1,84.4,5
Student_0039,T2_Spring,5,3.9,2,2,0,58.3,8
Student_0039,T2_Spring,6,3.9,5,5,0,66.6,8
Student_0040,T2_Spring,1,5.7,5,5,1,97.4,0
Student_0040,T2_Spring,2,5.5,5,5,1,78.6,0
Student_0040,T2_Spring,3,4.6,5,5,1,97.6,1
Student_0040,T2_Spring,4,5.6,5,5,1,84.8,0
Student_0040,T2_Spring,5,6.9,5,5,1,94.4,0
Student_0040,T2_Spring,6,5.5,2,2,0,89.1,0
Student_0041,T2_Spring,1,3.3,3,3,1,85.5,0
Student_0041,T2_Spring,2,1.7,4,3,0,71.0,1
Student_0041,T2_Spring,3,4.0,3,3,0,78.7,0
Student_0041,T2_Spring,4,6.0,2,2,0,88.8,0
Student_0041,T2_Spring,5,3.0,4,4,1,74.8,0
Student_0041,T2_Spring,6,3.3,3,3,0,73.8,0
Student_0042,T2_Spring,1,4.8,3,3,0,62.3,0
Student_0042,T2_Spring,2,4.8,2,2,0,74.4,1
Student_0042,T2_Spring,3,4.9,4,4,1,72.6,1
Student_0042,T2_Spring,4,3.4,5,4,1,71.8,4
Student_0042,T2_Spring,5,3.6,5,4,1,63.9,3
Student_0042,T2_Spring,6,3.9,2,2,1,72.5,4
Student_0043,T2_Spring,1,3.7,2,1,0,79.5,0
Student_0043,T2_Spring,2,4.3,3,2,0,72.4,2
Student_0043,T2_Spring,3,5.1,3,2,0,72.8,1
Student_0043,T2_Spring,4,4.2,4,3,1,78.0,0
Student_0043,T2_Spring,5,3.9,4,3,1,70.3,0
Student_0043,T2_Spring,6,3.7,2,2,1,65.4,0
Student_0044,T2_Spring,1,4.7,5,4,0,87.6,0
Student_0044,T2_Spring,2,4.8,4,3,0,87.2,2
Student_0044,T2_Spring,3,5.2,3,2,0,88.7,1
Student_0044,T2_Spring,4,5.3,5,4,0,93.8,0
Student_0044,T2_Spring,5,4.2,3,2,0,68.5,2
Student_0044,T2_Spring,6,3.9,4,3,0,86.3,0
Student_0045,T2_Spring,1,4.1,3,2,1,78.1,0
Student_0045,T2_Spring,2,5.0,3,2,0,72.6,1
Student_0045,T2_Spring,3,4.0,5,4,1,77.8,0
Student_0045,T2_Spring,4,4.2,3,2,1,81.9,0
Student_0045,T2_Spring,5,4.9,4,3,1,81.8,0
Student_0045,T2_Spring,6,5.2,3,2,1,84.6,0
Student_0046,T2_Spring,1,4.4,4,4,0,86.9,3
Student_0046,T2_Spring,2,5.7,2,2,0,93.3,4
Student_0046,T2_Spring,3,5.1,5,4,0,100.0,4
Student_0046,T2_Spring,4,3.8,3,2,0,100.0,4
Student_0046,T2_Spring,5,5.0,2,2,0,97.9,0
Student_0046,T2_Spring,6,3.9,5,4,0,95.7,4
Student_0047,T2_Spring,1,3.7,5,5,0,79.5,1
Student_0047,T2_Spring,2,4.3,2,2,0,58.5,1
Student_0047,T2_Spring,3,3.4,3,3,0,67.8,0
Student_0047,T2_Spring,4,4.2,5,5,1,72.6,2
Student_0047,T2_Spring,5,4.2,2,2,0,75.5,1
Student_0047,T2_Spring,6,5.2,2,2,0,75.0,0
Student_0048,T2_Spring,1,1.1,3,2,0,65.6,0
Student_0048,T2_Spring,2,2.5,3,2,0,78.8,2
Student_0048,T2_Spring,3,1.6,2,1,0,73.7,2
Student_0048,T2_Spring,4,2.8,5,4,1,67.2,0
Student_0048,T2_Spring,5,3.1,5,3,0,64.8,0
Student_0048,T2_Spring,6,1.7,3,2,0,71.4,0
Student_0049,T2_Spring,1,3.4,3,3,1,82.0,9
Student_0049,T2_Spring,2,3.3,4,4,1,75.0,7
Student_0049,T2_Spring,3,3.3,3,3,1,88.6,9
Student_0049,T2_Spring,4,2.7,2,2,0,92.4,7
Student_0049,T2_Spring,5,3.5,5,5,0,84.2,10
Student_0049,T2_Spring,6,3.9,5,4,0,93.1,10
Student_0050,T2_Spring,1,3.9,2,2,0,61.7,3
Student_0050,T2_Spring,2,4.8,3,3,0,76.9,4
Student_0050,T2_Spring,3,4.4,4,4,0,70.5,4
Student_0050,T2_Spring,4,5.2,4,4,0,71.4,4
Student_0050,T2_Spring,5,4.6,5,5,1,72.5,3
Student_0050,T2_Spring,6,4.8,4,4,0,78.0,3
Student_0051,T2_Spring,1,4.5,3,3,0,75.4,1
Student_0051,T2_Spring,2,5.2,5,5,1,81.7,0
Student_0051,T2_Spring,3,6.0,5,5,1,72.8,3
Student_0051,T2_Spring,4,4.7,3,2,0,63.5,0
Student_0051,T2_Spring,5,4.0,5,5,1,74.1,0
Student_0051,T2_Spring,6,4.9,4,3,1,75.1,1
Student_0052,T2_Spring,1,4.0,5,5,1,67.1,2
Student_0052,T2_Spring,2,2.7,5,4,1,79.6,0
Student_0052,T2_Spring,3,2.2,4,4,1,73.2,2
Student_0052,T2_Spring,4,3.8,2,2,0,71.6,0
Student_0052,T2_Spring,5,1.9,3,3,0,73.3,0
Student_0052,T2_Spring,6,2.7,4,4,1,64.6,0
Student_0053,T2_Spring,1,4.2,4,4,1,72.7,0
Student_0053,T2_Spring,2,4.1,2,2,1,72.2,0
Student_0053,T2_Spring,3,3.9,4,4,1,59.1,0
Student_0053,T2_Spring,4,4.3,5,4,1,82.4,0
Student_0053,T2_Spring,5,4.3,2,1,0,61.3,0
Student_0053,T2_Spring,6,5.4,5,5,2,59.7,0
Student_0054,T2_Spring,1,5.4,3,3,1,59.8,6
Student_0054,T2_Spring,2,3.1,2,2,1,68.3,7
Student_0054,T2_Spring,3,3.5,4,4,1,79.7,5
Student_0054,T2_Spring,4,4.8,3,3,1,72.4,4
Student_0054,T2_Spring,5,4.6,2,2,1,76.4,4
Student_0054,T2_Spring,6,5.1,4,4,1,70.5,4
Student_0055,T2_Spring,1,4.3,4,3,0,64.7,5
Student_0055,T2_Spring,2,3.5,2,2,0,76.0,1
Student_0055,T2_Spring,3,4.9,5,4,0,78.0,2
Student_0055,T2_Spring,4,3.9,4,4,1,79.5,1
Student_0055,T2_Spring,5,3.8,2,1,0,75.0,1
Student_0055,T2_Spring,6,5.2,5,3,0,83.3,3
Student_0056,T2_Spring,1,5.5,5,5,0,86.7,0
Student_0056,T2_Spring,2,6.2,5,5,0,80.6,0
Student_0056,T2_Spring,3,4.6,3,3,0,77.6,0
Student_0056,T2_Spring,4,5.1,3,3,0,81.4,0
Student_0056,T2_Spring,5,5.6,4,4,0,82.3,1
Student_0056,T2_Spring,6,5.8,4,4,0,76.4,1
Student_0057,T2_Spring,1,4.1,4,3,1,65.9,0
Student_0057,T2_Spring,2,5.5,3,2,0,82.1,1
Student_0057,T2_Spring,3,5.0,5,5,1,81.7,0
Student_0057,T2_Spring,4,6.1,4,4,1,67.3,2
Student_0057,T2_Spring,5,5.2,4,4,0,87.4,1
Student_0057,T2_Spring,6,5.2,3,3,0,58.4,0
Student_0058,T2_Spring,1,1.2,3,2,0,75.9,0
Student_0058,T2_Spring,2,3.4,3,3,1,61.4,1
Student_0058,T2_Spring,3,1.6,5,5,2,75.6,4
Student_0058,T2_Spring,4,1.8,3,3,1,73.9,3
Student_0058,T2_Spring,5,1.2,3,3,1,64.9,2
Student_0058,T2_Spring,6,2.1,5,5,1,66.4,2
Student_0059,T2_Spring,1,4.5,2,2,0,51.9,0
Student_0059,T2_Spring,2,6.0,3,3,0,62.6,3
Student_0059,T2_Spring,3,5.2,2,2,0,56.1,0
Student_0059,T2_Spring,4,5.9,4,4,0,51.9,2
Student_0059,T2_Spring,5,4.8,3,3,0,50.2,2
Student_0059,T2_Spring,6,4.0,5,5,0,54.6,3
Student_0060,T2_Spring,1,3.7,5,5,1,73.8,4
Student_0060,T2_Spring,2,2.0,5,4,1,80.1,3
Student_0060,T2_Spring,3,3.8,5,5,1,73.4,3
Student_0060,T2_Spring,4,3.5,4,4,1,74.7,5
Student_0060,T2_Spring,5,4.6,2,2,0,74.1,1
Student_0060,T2_Spring,6,5.6,5,5,0,68.5,3
Student_0061,T2_Spring,1,6.4,4,4,0,93.0,0
Student_0061,T2_Spring,2,5.3,2,2,0,81.5,2
Student_0061,T2_Spring,3,4.4,4,4,0,83.9,0
Student_0061,T2_Spring,4,6.7,3,3,0,93.6,2
Student_0061,T2_Spring,5,6.6,2,2,0,79.1,0
Student_0061,T2_Spring,6,5.3,2,2,0,79.8,1
Student_0062,T2_Spring,1,3.3,5,3,1,52.4,2
Student_0062,T2_Spring,2,3.0,2,1,0,43.8,1
Student_0062,T2_Spring,3,3.1,2,1,0,46.8,4
Student_0062,T2_Spring,4,2.5,4,3,1,52.0,3
Student_0062,T2_Spring,5,2.7,3,2,1,51.0,5
Student_0062,T2_Spring,6,3.5,5,2,1,48.4,3
Student_0063,T2_Spring,1,4.8,3,3,1,94.1,5
Student_0063,T2_Spring,2,4.8,5,5,1,96.3,5
Student_0063,T2_Spring,3,5.5,3,3,1,89.3,4
Student_0063,T2_Spring,4,6.3,4,4,1,87.7,2
Student_0063,T2_Spring,5,6.4,3,3,1,81.9,4
Student_0063,T2_Spring,6,6.3,2,2,0,79.6,4
Student_0064,T2_Spring,1,4.5,5,4,0,71.6,3
Student_0064,T2_Spring,2,4.1,2,2,0,76.1,1
Student_0064,T2_Spring,3,4.1,2,2,0,78.1,4
Student_0064,T2_Spring,4,3.8,4,4,0,69.1,3
Student_0064,T2_Spring,5,5.8,2,2,0,69.1,5
Student_0064,T2_Spring,6,4.0,5,5,0,82.0,2
Student_0065,T2_Spring,1,2.9,4,4,0,69.7,0
Student_0065,T2_Spring,2,2.7,3,3,0,75.5,1
Student_0065,T2_Spring,3,3.9,2,2,0,82.1,1
Student_0065,T2_Spring,4,4.2,4,4,1,88.1,0
Student_0065,T2_Spring,5,3.2,3,3,0,77.3,2
Student_0065,T2_Spring,6,3.8,2,2,0,69.1,0
Student_0066,T2_Spring,1,4.0,3,3,0,92.0,6
Student_0066,T2_Spring,2,4.6,4,4,1,100.0,7
Student_0066,T2_Spring,3,4.8,2,2,0,93.6,6
Student_0066,T2_Spring,4,3.2,2,2,0,99.9,4
Student_0066,T2_Spring,5,3.8,2,2,0,99.1,8
Student_0066,T2_Spring,6,4.5,2,2,0,93.5,5
Student_0067,T2_Spring,1,1.7,5,4,1,73.3,5
Student_0067,T2_Spring,2,2.2,2,2,1,95.9,8
Student_0067,T2_Spring,3,2.2,5,4,1,78.4,7
Student_0067,T2_Spring,4,3.3,5,4,1,92.4,7
Student_0067,T2_Spring,5,3.1,4,3,1,100.0,7
Student_0067,T2_Spring,6,2.7,3,3,0,89.3,6
Student_0068,T2_Spring,1,1.2,3,2,1,84.3,8
Student_0068,T2_Spring,2,2.2,5,4,1,87.7,9
Student_0068,T2_Spring,3,2.2,5,3,1,78.5,8
Student_0068,T2_Spring,4,2.5,5,3,1,83.3,7
Student_0068,T2_Spring,5,2.4,4,2,1,81.3,9
Student_0068,T2_Spring,6,0.8,3,2,1,86.1,8
Student_0069,T2_Spring,1,3.5,5,4,0,90.3,2
Student_0069,T2_Spring,2,3.2,2,2,0,79.5,0
Student_0069,T2_Spring,3,5.1,5,4,0,83.4,0
Student_0069,T2_Spring,4,4.5,2,1,0,85.9,0
Student_0069,T2_Spring,5,3.2,5,4,0,89.4,2
Student_0069,T2_Spring,6,3.7,5,4,0,89.6,0
Student_0070,T2_Spring,1,1.3,2,1,0,83.5,0
Student_0070,T2_Spring,2,2.7,4,3,1,87.1,1
Student_0070,T2_Spring,3,3.5,4,3,1,97.8,2
Student_0070,T2_Spring,4,3.0,5,4,1,92.1,2
Student_0070,T2_Spring,5,2.0,5,3,0,81.8,4
Student_0070,T2_Spring,6,2.1,5,4,1,92.4,2
Student_0071,T2_Spring,1,2.8,2,2,0,81.4,5
Student_0071,T2_Spring,2,2.0,2,2,0,76.3,4
Student_0071,T2_Spring,3,3.9,4,3,1,95.9,6
Student_0071,T2_Spring,4,3.1,2,2,0,82.3,6
Student_0071,T2_Spring,5,2.5,5,4,1,77.8,3
Student_0071,T2_Spring,6,2.4,4,3,1,90.1,2
Student_0072,T2_Spring,1,4.3,4,4,1,69.0,4
Student_0072,T2_Spring,2,3.7,3,3,1,62.0,2
Student_0072,T2_Spring,3,3.4,2,2,0,63.6,2
Student_0072,T2_Spring,4,2.7,2,2,1,61.9,2
Student_0072,T2_Spring,5,3.1,5,4,1,65.7,4
Student_0072,T2_Spring,6,3.6,4,3,1,65.7,4
Student_0073,T2_Spring,1,3.0,3,2,0,95.1,1
Student_0073,T2_Spring,2,5.4,4,3,1,100.0,0
Student_0073,T2_Spring,3,4.8,4,4,1,96.6,0
Student_0073,T2_Spring,4,4.1,5,4,1,100.0,1
Student_0073,T2_Spring,5,3.2,4,3,1,87.4,0
Student_0073,T2_Spring,6,3.7,4,3,1,100.0,0
Student_0074,T2_Spring,1,4.5,5,4,1,71.9,2
Student_0074,T2_Spring,2,3.3,5,4,1,78.8,3
Student_0074,T2_Spring,3,3.2,5,4,1,68.1,3
Student_0074,T2_Spring,4,1.5,3,2,0,79.0,2
Student_0074,T2_Spring,5,3.1,5,4,1,74.0,4
Student_0074,T2_Spring,6,3.3,5,4,1,79.4,5
Student_0075,T2_Spring,1,3.8,4,4,1,58.0,5
Student_0075,T2_Spring,2,5.4,2,2,0,56.4,2
