Student_ID,Program_ID,Entry_Type,Academic_Level,Credits_Completed,Current_GPA,Maximum_Recommended_Credits
Student_0067,Program_D,First_Year,1,19,3.31,18
Student_0068,Program_C,First_Year,3,57,3.19,15
Student_0069,Program_D,First_Year,2,52,3.17,15
Student_0070,Program_C,Transfer,2,47,2.83,12
Student_0071,Program_A,Transfer,3,80,2.93,15
Student_0072,Program_D,First_Year,1,13,2.51,15
Student_0073,Program_D,First_Year,4,85,3.43,15
Student_0074,Program_D,First_Year,3,67,2.47,15
Student_0075,Program_B,First_Year,3,77,2.04,12
Student_0076,Program_C,First_Year,1,19,2.6,15
Student_0077,Program_D,Transfer,3,66,2.84,15
Student_0078,Program_D,Transfer,2,27,3.58,15
Student_0079,Program_A,First_Year,4,88,2.83,15
Student_0080,Program_C,Transfer,2,29,3.27,15
Student_0081,Program_B,First_Year,1,13,3.57,18
Student_0082,Program_B,Transfer,2,51,3.2,15
Student_0083,Program_B,First_Year,4,81,3.28,15
Student_0084,Program_A,First_Year,2,41,1.98,15
Student_0085,Program_A,First_Year,2,35,2.25,15
Student_0086,Program_A,First_Year,4,94,2.79,15
Student_0087,Program_C,Transfer,1,11,2.27,15
Student_0088,Program_D,First_Year,4,107,2.56,15
Student_0089,Program_D,First_Year,4,105,2.35,18
Student_0090,Program_C,First_Year,3,57,2.66,15
Student_0091,Program_C,First_Year,4,96,3.56,15
Student_0092,Program_A,First_Year,2,52,3.19,15
Student_0093,Program_C,First_Year,2,27,2.21,15
Student_0094,Program_B,First_Year,3,80,2.61,15
Student_0095,Program_B,Transfer,4,108,3.15,15
Student_0096,Program_B,Transfer,1,16,2.61,15
Student_0097,Program_A,First_Year,4,103,1.72,12
Student_0098,Program_D,First_Year,2,29,2.23,15
Student_0099,Program_D,First_Year,4,89,3.41,15
Student_0100,Program_A,First_Year,1,16,3.66,15
Student_0101,Program_B,First_Year,4,99,2.31,15
Student_0102,Program_B,First_Year,3,74,2.82,18
Student_0103,Program_D,Transfer,3,73,3.18,15
Student_0104,Program_B,Transfer,2,34,3.44,18
Student_0105,Program_A,Transfer,1,1,1.73,15
Student_0106,Program_C,First_Year,1,15,4.0,18
Student_0107,Program_D,Transfer,1,25,2.84,12
Student_0108,Program_C,Transfer,3,66,2.66,15
Student_0109,Program_A,First_Year,3,61,3.24,15
Student_0110,Program_D,Transfer,1,11,1.62,12
Student_0111,Program_C,First_Year,4,101,2.6,15
Student_0112,Program_B,First_Year,1,7,1.73,15
Student_0113,Program_D,First_Year,1,23,2.21,15
Student_0114,Program_B,First_Year,2,38,2.68,15
Student_0115,Program_A,Transfer,3,79,2.11,18
Student_0116,Program_C,First_Year,3,62,2.59,12
Student_0117,Program_A,Transfer,3,68,3.07,18
Student_0118,Program_A,First_Year,3,73,3.39,15
Student_0119,Program_C,Transfer,4,91,1.88,15
Student_0120,Program_D,First_Year,3,79,2.37,18
Student_0121,Program_C,First_Year,4,105,1.85,18
Student_0122,Program_A,First_Year,3,79,1.32,18
Student_0123,Program_D,First_Year,4,102,3.17,15
Student_0124,Program_B,Transfer,3,81,3.11,15
Student_0125,Program_A,Transfer,4,85,2.76,15
Student_0126,Program_D,First_Year,3,62,2.04,15
Student_0127,Program_C,Transfer,1,27,2.15,15
Student_0128,Program_B,First_Year,2,27,2.86,15
Student_0129,Program_C,First_Year,4,87,2.26,18
Student_0130,Program_B,First_Year,2,46,2.9,15
Student_0131,Program_B,Transfer,3,57,2.38,15
Student_0132,Program_C,Transfer,3,74,2.29,15
Student_0133,Program_A,Transfer,3,66,2.99,18
Student_0134,Program_C,First_Year,2,52,3.05,15
Student_0135,Program_A,First_Year,4,101,2.55,18
Student_0136,Program_D,Transfer,4,94,1.25,18
Student_0137,Program_A,First_Year,4,81,2.82,15
Student_0138,Program_A,First_Year,2,46,2.95,15
Student_0139,Program_C,Transfer,2,40,2.21,12
Student_0140,Program_A,First_Year,2,31,2.36,18
Student_0141,Program_B,Transfer,2,31,3.54,15
Student_0142,Program_D,Transfer,4,106,2.99,18
Student_0143,Program_D,First_Year,2,39,3.33,15
Student_0144,Program_D,First_Year,2,42,3.29,15
Student_0145,Program_A,First_Year,4,90,3.08,15
Student_0146,Program_B,First_Year,2,39,2.8,15
Student_0147,Program_D,First_Year,1,20,2.92,15
Student_0148,Program_D,First_Year,4,91,2.11,18
Student_0149,Program_A,Transfer,2,52,2.47,12
Student_0150,Program_C,First_Year,3,71,2.15,15
Student_0151,Program_B,Transfer,3,54,2.89,15
Student_0152,Program_D,Transfer,4,84,2.56,18
Student_0153,Program_C,Transfer,4,87,2.68,18
Student_0154,Program_D,Transfer,3,79,2.99,15
Student_0155,Program_D,Transfer,2,39,3.77,15
Student_0156,Program_A,Transfer,1,4,2.45,18
Student_0157,Program_C,Transfer,1,27,2.29,15
Student_0158,Program_A,First_Year,2,46,3.09,15
Student_0159,Program_B,Transfer,1,15,2.12,12
Student_0160,Program_D,First_Year,1,23,2.42,15
Student_0161,Program_A,First_Year,1,24,2.37,15
Student_0162,Program_C,First_Year,3,65,2.81,15
Student_0163,Program_C,Transfer,2,48,2.16,18
Student_0164,Program_C,First_Year,2,40,3.14,15
Student_0165,Program_A,First_Year,4,98,2.24,12
Student_0166,Program_C,First_Year,1,15,3.35,15
Student_0167,Program_C,First_Year,2,50,3.26,15
Student_0168,Program_D,First_Year,3,69,3.17,15
Student_0169,Program_B,Transfer,3,69,2.86,18
Student_0170,Program_C,Transfer,1,26,2.88,15
Student_0171,Program_C,Transfer,2,39,3.0,15
Student_0172,Program_A,First_Year,2,48,3.33,15
Student_0173,Program_B,Transfer,3,64,2.27,15
Student_0174,Program_A,First_Year,3,75,2.45,12
Student_0175,Program_C,Transfer,2,27,2.93,15
Student_0176,Program_D,First_Year,4,99,2.34,15
Student_0177,Program_D,Transfer,3,60,2.26,15
Student_0178,Program_B,First_Year,1,0,3.0,18
Student_0179,Program_C,First_Year,1,13,3.33,15
Student_0180,Program_A,Transfer,2,45,3.19,15
Student_0181,Program_C,Transfer,2,41,2.91,15
Student_0182,Program_A,First_Year,2,30,2.66,15
Student_0183,Program_D,First_Year,2,34,1.95,15
Student_0184,Program_B,First_Year,3,80,2.3,15
Student_0185,Program_B,First_Year,2,48,2.27,15
Student_0186,Program_A,First_Year,1,23,2.35,12
Student_0187,Program_D,First_Year,1,24,3.0,18
Student_0188,Program_D,First_Year,3,70,3.17,18
Student_0189,Program_C,First_Year,3,70,2.63,15
Student_0190,Program_D,Transfer,3,75,1.92,18
Student_0191,Program_C,First_Year,4,106,2.81,15
Student_0192,Program_B,First_Year,2,36,2.64,12
Student_0193,Program_C,Transfer,3,63,2.86,18
Student_0194,Program_A,First_Year,3,81,2.48,18
Student_0195,Program_D,First_Year,3,81,3.19,12
Student_0196,Program_B,First_Year,1,8,2.36,15
Student_0197,Program_B,First_Year,1,7,3.15,15
Student_0198,Program_B,First_Year,1,4,3.07,15
Student_0199,Program_A,First_Year,4,89,1.82,15
Student_0200,Program_B,First_Year,1,27,2.2,18
Student_0201,Program_A,Transfer,3,79,2.23,18
Student_0202,Program_A,Transfer,1,1,2.89,18
Student_0203,Program_D,Transfer,1,0,3.05,12
Student_0204,Program_B,First_Year,2,46,2.69,15
Student_0205,Program_D,First_Year,1,4,3.32,18
Student_0206,Program_C,First_Year,1,25,1.82,15
Student_0207,Program_D,First_Year,1,27,2.82,12
Student_0208,Program_A,First_Year,2,51,2.85,15
Student_0209,Program_B,Transfer,3,79,3.41,15
Student_0210,Program_A,First_Year,2,37,2.63,18
Student_0211,Program_B,Transfer,1,9,2.74,15
Student_0212,Program_A,Transfer,2,44,3.58,18
Student_0213,Program_B,First_Year,2,43,3.08,12
Student_0214,Program_D,First_Year,1,9,2.49,18
Student_0215,Program_D,First_Year,4,107,2.19,12
Student_0216,Program_D,First_Year,4,93,3.81,15
Student_0217,Program_D,First_Year,1,25,2.98,12
Student_0218,Program_C,First_Year,3,63,2.93,15
Student_0219,Program_B,Transfer,2,43,3.91,18
Student_0220,Program_A,Transfer,1,12,1.98,12
Student_0221,Program_C,First_Year,2,35,3.02,15
Student_0222,Program_A,Transfer,1,19,2.29,15
Student_0223,Program_C,First_Year,1,17,3.07,18
Student_0224,Program_A,Transfer,1,17,2.41,15
Student_0225,Program_D,First_Year,3,77,2.58,18
Student_0226,Program_C,First_Year,4,89,3.28,18
Student_0227,Program_A,First_Year,1,18,2.3,12
Student_0228,Program_A,First_Year,4,90,2.71,18
Student_0229,Program_A,First_Year,4,95,2.61,12
Student_0230,Program_A,First_Year,2,44,2.72,15
Student_0231,Program_C,Transfer,4,90,2.96,18
Student_0232,Program_D,First_Year,4,92,3.45,15
Student_0233,Program_D,Transfer,1,22,1.67,12
Student_0234,Program_D,First_Year,1,17,3.63,15
Student_0235,Program_A,First_Year,1,19,2.13,15
Student_0236,Program_C,First_Year,4,106,2.85,15
Student_0237,Program_B,First_Year,2,46,2.45,15
Student_0238,Program_A,Transfer,1,9,2.17,15
Student_0239,Program_C,First_Year,3,70,2.45,15
Student_0240,Program_B,First_Year,1,3,2.8,18
Student_0241,Program_A,First_Year,4,101,3.11,15
Student_0242,Program_A,First_Year,4,99,2.14,15
Student_0243,Program_D,First_Year,1,8,3.46,15
Student_0244,Program_A,First_Year,3,78,2.57,12
Student_0245,Program_C,First_Year,3,62,2.15,12
Student_0246,Program_B,Transfer,2,41,2.17,15
Student_0247,Program_D,First_Year,4,95,2.95,15
Student_0248,Program_A,First_Year,4,88,3.83,12
Student_0249,Program_C,Transfer,2,48,3.72,18
Student_0250,Program_C,First_Year,2,36,2.61,18
Student_0251,Program_B,Transfer,3,54,3.24,15
Student_0252,Program_B,Transfer,2,45,2.05,15
Student_0253,Program_D,Transfer,4,93,2.91,18
Student_0254,Program_B,First_Year,2,50,2.68,15
Student_0255,Program_A,First_Year,3,60,2.4,18
Student_0256,Program_B,Transfer,3,62,2.61,18
Student_0257,Program_B,First_Year,2,44,1.96,15
Student_0258,Program_D,First_Year,1,3,2.47,15
Student_0259,Program_C,First_Year,3,69,2.73,15
Student_0260,Program_C,First_Year,1,5,3.68,15
Student_0261,Program_A,First_Year,3,70,2.62,12
Student_0262,Program_A,First_Year,1,4,2.29,18
Student_0263,Program_A,First_Year,1,15,2.28,15
Student_0264,Program_D,First_Year,1,9,2.66,15
Student_0265,Program_C,First_Year,3,70,2.66,15
Student_0266,Program_B,First_Year,1,5,3.09,15
Student_0267,Program_A,First_Year,1,11,3.02,18
Student_0268,Program_B,Transfer,2,38,2.48,15
Student_0269,Program_A,Transfer,2,45,2.28,18
Student_0270,Program_B,First_Year,3,80,1.97,12
Student_0271,Program_A,First_Year,2,42,2.79,15
Student_0272,Program_C,Transfer,4,90,2.39,15
Student_0273,Program_D,First_Year,2,49,3.38,18
Student_0274,Program_C,Transfer,4,106,3.02,15
Student_0275,Program_C,First_Year,2,45,2.8,15
Student_0276,Program_C,First_Year,2,40,3.41,15
Student_0277,Program_C,First_Year,4,90,2.17,18
Student_0278,Program_A,Transfer,2,34,3.27,15
Student_0279,Program_C,First_Year,4,83,2.96,15
Student_0280,Program_A,First_Year,2,30,2.21,12
Student_0281,Program_B,First_Year,4,103,2.37,15
Student_0282,Program_C,Transfer,3,79,2.85,18
Student_0283,Program_C,First_Year,2,36,2.54,18
Student_0284,Program_D,Transfer,2,49,2.17,15
Student_0285,Program_C,First_Year,4,88,2.14,15
Student_0286,Program_D,Transfer,4,105,2.71,18
Student_0287,Program_C,Transfer,2,53,2.58,15
Student_0288,Program_A,Transfer,3,76,3.09,15
Student_0289,Program_D,First_Year,4,108,2.48,15
Student_0290,Program_A,First_Year,1,25,2.95,15
Student_0291,Program_B,First_Year,4,88,2.4,18
Student_0292,Program_C,Transfer,1,0,3.23,15
Student_0293,Program_C,Transfer,2,35,2.08,18
Student_0294,Program_C,First_Year,2,29,2.55,15
Student_0295,Program_B,Transfer,3,56,2.19,18
Student_0296,Program_C,Transfer,2,33,2.66,18
Student_0297,Program_C,First_Year,3,75,2.32,15
Student_0298,Program_D,First_Year,1,0,2.35,15
Student_0299,Program_A,First_Year,2,38,2.98,15
Student_0300,Program_A,First_Year,4,88,2.45,15
Student_0301,Program_A,First_Year,3,73,2.71,18
Student_0302,Program_B,First_Year,3,66,3.39,15
Student_0303,Program_A,First_Year,4,102,2.88,18
Student_0304,Program_B,First_Year,2,29,1.67,12
Student_0305,Program_D,Transfer,3,73,3.39,15
Student_0306,Program_B,First_Year,3,69,2.59,15
Student_0307,Program_C,First_Year,3,58,3.26,15
Student_0308,Program_D,First_Year,1,5,2.92,15
Student_0309,Program_D,First_Year,1,24,3.25,18
Student_0310,Program_D,Transfer,2,43,3.6,18
Student_0311,Program_B,First_Year,3,56,2.88,12
Student_0312,Program_C,Transfer,2,53,2.54,12
Student_0313,Program_C,Transfer,3,68,1.75,15
Student_0314,Program_A,Transfer,3,68,2.78,18
Student_0315,Program_A,First_Year,1,23,3.21,18
Student_0316,Program_A,Transfer,3,72,2.37,18
Student_0317,Program_B,First_Year,2,45,2.41,18
Student_0318,Program_B,First_Year,4,103,2.41,18
Student_0319,Program_A,First_Year,2,30,2.62,18
Student_0320,Program_B,First_Year,4,100,3.1,15
Student_0321,Program_D,Transfer,3,70,2.95,15
Student_0322,Program_B,First_Year,1,23,2.56,15
Student_0323,Program_B,First_Year,1,13,3.21,15
Student_0324,Program_C,First_Year,1,14,3.13,18
Student_0325,Program_C,First_Year,3,55,1.91,15
Student_0326,Program_B,Transfer,3,69,3.08,12
Student_0327,Program_A,Transfer,3,66,2.88,15
Student_0328,Program_A,Transfer,2,49,3.43,18
Student_0329,Program_A,First_Year,2,34,2.29,18
Student_0330,Program_A,First_Year,1,22,2.66,15
Student_0331,Program_A,First_Year,4,85,2.68,15
Student_0332,Program_D,Transfer,1,27,3.29,15
Student_0333,Program_A,First_Year,1,9,2.52,15
Student_0334,Program_A,Transfer,2,42,3.47,15
Student_0335,Program_D,First_Year,3,70,2.56,15
Student_0336,Program_A,First_Year,3,74,3.25,18
Student_0337,Program_A,Transfer,2,40,2.44,18
Student_0338,Program_B,Transfer,4,90,2.34,18
Student_0339,Program_B,First_Year,4,91,3.35,18
Student_0340,Program_D,Transfer,2,49,2.33,15
Student_0341,Program_A,Transfer,3,78,3.9,15
Student_0342,Program_D,First_Year,2,32,2.79,15
Student_0343,Program_B,First_Year,2,37,2.85,18
Student_0344,Program_A,First_Year,1,5,2.82,15
Student_0345,Program_B,First_Year,3,57,2.22,18
Student_0346,Program_A,Transfer,1,11,3.28,12
Student_0347,Program_C,First_Year,3,70,2.13,12
Student_0348,Program_B,First_Year,3,64,2.8,15
Student_0349,Program_D,Transfer,2,38,2.14,15
Student_0350,Program_A,First_Year,2,52,2.59,12
Student_0351,Program_A,Transfer,3,64,2.6,18
Student_0352,Program_B,First_Year,1,6,2.18,15
Student_0353,Program_D,Transfer,1,19,3.58,15
Student_0354,Program_D,Transfer,2,47,3.0,15
Student_0355,Program_D,Transfer,4,93,2.97,15
Student_0356,Program_D,First_Year,2,45,2.52,15
Student_0357,Program_A,Transfer,1,10,2.38,15
Student_0358,Program_D,Transfer,2,27,2.93,18
Student_0359,Program_A,First_Year,3,56,2.76,18
Student_0360,Program_A,Transfer,4,85,2.87,15
Student_0361,Program_A,Transfer,1,17,3.11,15
Student_0362,Program_C,Transfer,4,108,1.68,15
Student_0363,Program_B,First_Year,2,32,2.91,18
Student_0364,Program_B,Transfer,1,9,2.29,15
Student_0365,Program_A,First_Year,1,12,2.14,15
Student_0366,Program_B,First_Year,2,27,1.95,12
Student_0367,Program_A,First_Year,1,13,3.09,18
Student_0368,Program_B,Transfer,4,102,2.46,12
Student_0369,Program_A,Transfer,3,80,2.21,15
Student_0370,Program_D,Transfer,3,73,2.91,12
Student_0371,Program_C,Transfer,4,108,1.9,12
Student_0372,Program_D,Transfer,2,32,2.42,15
Student_0373,Program_A,First_Year,2,49,1.73,15
Student_0374,Program_D,First_Year,1,12,1.35,15
Student_0375,Program_C,First_Year,1,13,2.77,15
Student_0376,Program_A,Transfer,2,52,3.05,15
Student_0377,Program_A,First_Year,4,100,3.65,15
Student_0378,Program_A,First_Year,3,56,2.43,12
Student_0379,Program_B,Transfer,3,54,2.67,15
Student_0380,Program_B,Transfer,3,71,2.41,12
Student_0381,Program_C,First_Year,1,21,2.44,18
Student_0382,Program_B,First_Year,3,72,3.54,15
Student_0383,Program_C,First_Year,2,36,2.01,18
Student_0384,Program_D,First_Year,3,56,2.75,18
Student_0385,Program_A,First_Year,4,87,3.19,18
Student_0386,Program_C,First_Year,3,69,3.17,15
Student_0387,Program_D,First_Year,2,45,3.35,15
Student_0388,Program_C,First_Year,3,81,3.26,18
Student_0389,Program_D,First_Year,1,9,2.6,12
Student_0390,Program_B,First_Year,3,75,2.54,12
Student_0391,Program_B,First_Year,1,12,2.46,18
Student_0392,Program_B,First_Year,3,65,2.71,15
Student_0393,Program_C,First_Year,2,37,2.49,15
Student_0394,Program_C,Transfer,2,51,2.85,12
Student_0395,Program_A,First_Year,1,16,2.07,15
Student_0396,Program_D,First_Year,3,60,2.22,12
Student_0397,Program_D,Transfer,2,37,1.77,15
Student_0398,Program_A,First_Year,1,10,3.18,18
Student_0399,Program_A,Transfer,2,28,3.51,12
Student_0400,Program_D,Transfer,1,26,2.29,15
Student_0401,Program_B,Transfer,1,4,2.66,15
Student_0402,Program_A,First_Year,2,27,2.75,15
Student_0403,Program_B,First_Year,3,63,3.12,18
Student_0404,Program_B,First_Year,4,103,2.64,15
Student_0405,Program_B,First_Year,3,68,2.99,12
Student_0406,Program_A,First_Year,4,92,2.99,15
Student_0407,Program_A,First_Year,4,97,2.9,18
Student_0408,Program_B,First_Year,1,4,2.54,12
Student_0409,Program_B,First_Year,4,106,3.28,15
Student_0410,Program_C,First_Year,3,58,2.07,15
Student_0411,Program_D,First_Year,2,41,3.22,15
Student_0412,Program_B,Transfer,3,74,2.52,12
Student_0413,Program_D,Transfer,4,98,3.16,18
Student_0414,Program_C,First_Year,4,85,3.53,15
Student_0415,Program_A,First_Year,2,27,1.93,15
Student_0416,Program_C,First_Year,1,18,2.4,18
Student_0417,Program_C,First_Year,3,76,2.55,18
Student_0418,Program_D,First_Year,3,74,1.79,15
Student_0419,Program_D,First_Year,1,3,3.16,15
Student_0420,Program_D,Transfer,2,29,2.12,12
Student_0421,Program_B,First_Year,2,50,2.64,12
Student_0422,Program_C,First_Year,4,86,2.67,15
Student_0423,Program_C,Transfer,2,34,3.04,15
Student_0424,Program_D,Transfer,3,77,2.7,18
Student_0425,Program_D,First_Year,2,53,2.38,15
Student_0426,Program_A,First_Year,1,23,2.95,15
Student_0427,Program_C,First_Year,1,20,3.14,15
Student_0428,Program_A,Transfer,4,93,2.54,18
Student_0429,Program_A,First_Year,1,11,2.6,15
Student_0430,Program_D,Transfer,2,31,1.87,18
Student_0431,Program_A,Transfer,2,35,2.59,18
Student_0432,Program_B,Transfer,3,58,1.91,15
Student_0433,Program_C,First_Year,3,81,2.46,12
Student_0434,Program_A,First_Year,2,37,2.7,15
Student_0435,Program_A,Transfer,4,92,2.64,12
Student_0436,Program_D,First_Year,3,56,2.96,15
Student_0437,Program_B,Transfer,1,5,3.79,12
Student_0438,Program_D,First_Year,3,77,2.71,18
Student_0439,Program_B,First_Year,4,82,3.19,15
Student_0440,Program_A,First_Year,3,63,2.97,18
Student_0441,Program_B,First_Year,1,5,2.99,15
Student_0442,Program_A,First_Year,3,74,2.6,15
Student_0443,Program_B,First_Year,1,4,2.65,15
Student_0444,Program_C,First_Year,4,104,2.67,15
Student_0445,Program_B,Transfer,2,29,3.84,18
Student_0446,Program_C,First_Year,4,92,2.24,15
Student_0447,Program_B,First_Year,4,85,2.32,15
Student_0448,Program_D,First_Year,2,39,1.67,15
Student_0449,Program_A,First_Year,4,93,2.67,15
Student_0450,Program_A,First_Year,4,104,3.57,15
Student_0451,Program_B,First_Year,2,28,2.38,18
Student_0452,Program_B,First_Year,1,2,2.24,12
Student_0453,Program_B,First_Year,3,65,1.98,15
Student_0454,Program_D,First_Year,1,19,2.91,15
Student_0455,Program_D,First_Year,1,20,2.73,15
Student_0456,Program_C,Transfer,3,78,2.0,15
Student_0457,Program_D,First_Year,2,29,3.74,15
Student_0458,Program_A,First_Year,2,35,2.69,18
Student_0459,Program_C,First_Year,4,89,3.03,15
Student_0460,Program_C,Transfer,3,63,2.9,18
Student_0461,Program_D,First_Year,3,57,2.97,18
Student_0462,Program_B,First_Year,3,68,2.93,18
Student_0463,Program_B,First_Year,4,104,2.02,18
Student_0464,Program_A,First_Year,4,99,2.51,15
Student_0465,Program_B,Transfer,1,10,3.11,15
Student_0466,Program_C,First_Year,2,52,3.57,15
Student_0467,Program_A,First_Year,4,94,2.78,18
Student_0468,Program_B,Transfer,2,29,2.63,18
Student_0469,Program_D,First_Year,3,56,2.59,15
Student_0470,Program_B,First_Year,4,99,2.68,15
Student_0471,Program_D,First_Year,4,99,2.86,12
Student_0472,Program_B,First_Year,3,60,2.74,12
Student_0473,Program_A,First_Year,2,34,2.5,15
Student_0474,Program_C,Transfer,1,6,2.74,15
Student_0475,Program_C,First_Year,3,76,2.69,12
Student_0476,Program_A,Transfer,2,51,2.68,15
Student_0477,Program_A,Transfer,3,78,2.53,12
Student_0478,Program_D,First_Year,1,12,2.98,15
Student_0479,Program_D,First_Year,2,51,2.77,18
Student_0480,Program_A,First_Year,1,20,2.4,15
Student_0481,Program_C,First_Year,3,66,1.99,15
Student_0482,Program_D,Transfer,1,13,2.66,18
Student_0483,Program_C,Transfer,3,81,3.0,18
Student_0484,Program_B,First_Year,1,0,3.11,15
Student_0485,Program_B,First_Year,1,7,2.08,15
Student_0486,Program_A,First_Year,1,26,2.29,12
Student_0487,Program_B,First_Year,3,67,2.92,12
Student_0488,Program_C,Transfer,2,32,2.78,15
Student_0489,Program_A,First_Year,1,27,3.57,15
Student_0490,Program_A,First_Year,2,27,2.61,15
Student_0491,Program_D,Transfer,1,11,3.18,15
Student_0492,Program_C,Transfer,1,10,3.06,15
Student_0493,Program_A,First_Year,3,59,2.51,15
Student_0494,Program_A,First_Year,3,71,2.6,12
Student_0495,Program_B,First_Year,1,9,2.45,18
Student_0496,Program_D,First_Year,3,66,3.06,12
Student_0497,Program_A,First_Year,2,51,3.15,18
Student_0498,Program_B,Transfer,3,62,2.85,15
Student_0499,Program_B,First_Year,3,74,2.96,18
Student_0500,Program_A,First_Year,1,2,2.64,18
Student_0501,Program_C,Transfer,2,49,3.68,15
Student_0502,Program_B,First_Year,4,97,3.36,15
Student_0503,Program_D,First_Year,1,16,3.04,12
Student_0504,Program_D,Transfer,4,86,2.51,15
Student_0505,Program_D,First_Year,4,82,3.07,18
Student_0506,Program_D,Transfer,1,23,3.12,12
Student_0507,Program_C,First_Year,2,33,4.0,18
Student_0508,Program_C,Transfer,2,35,3.08,15
Student_0509,Program_B,First_Year,3,60,2.74,12
Student_0510,Program_C,First_Year,1,22,2.35,15
Student_0511,Program_B,First_Year,3,74,2.61,15
Student_0512,Program_C,First_Year,4,95,2.54,18
Student_0513,Program_C,First_Year,1,10,2.62,18
Student_0514,Program_A,First_Year,4,102,3.19,15
Student_0515,Program_D,First_Year,3,63,3.31,15
Student_0516,Program_D,First_Year,4,82,2.59,15
Student_0517,Program_B,Transfer,4,81,3.6,15
Student_0518,Program_C,First_Year,3,74,2.93,15
Student_0519,Program_D,Transfer,3,65,2.57,15
Student_0520,Program_B,First_Year,1,15,3.44,12
Student_0521,Program_C,First_Year,1,1,2.68,15
Student_0522,Program_A,Transfer,1,11,3.32,12
Student_0523,Program_D,First_Year,3,78,3.34,15
Student_0524,Program_B,First_Year,3,80,2.75,18
Student_0525,Program_A,First_Year,3,81,2.54,15
Student_0526,Program_C,First_Year,2,52,2.18,15
Student_0527,Program_A,First_Year,2,45,3.06,15
Student_0528,Program_A,First_Year,1,27,2.87,15
Student_0529,Program_C,First_Year,2,30,2.56,15
Student_0530,Program_C,Transfer,1,20,3.08,15
Student_0531,Program_A,First_Year,4,87,2.01,12
Student_0532,Program_A,Transfer,4,100,2.82,15
Student_0533,Program_C,First_Year,3,75,3.14,15
Student_0534,Program_D,Transfer,2,51,3.21,15
