Student_ID,Observation_Term,Program_ID,Entry_Type,Academic_Level,Credits_Completed,Prior_Term_GPA,GPA_Change,Course_Pass_Rate_Last_2_Terms,Failed_Courses_Last_2_Terms,Withdrawals_Last_2_Terms,Current_Course_Load_Credits,LMS_Login_Days_4wk,Assignment_Submission_Rate_4wk,Late_Assignment_Rate_4wk,Average_Assignment_Score_4wk,Days_Since_Last_LMS_Activity
Student_0015,T5_Fall,Program_A,First_Year,3,54,2.73,-0.11,0.885,0,0,12,4.63,0.853,0.115,69.3,0
Student_0016,T5_Fall,Program_B,First_Year,3,66,3.21,0.3,0.927,0,0,12,3.1,0.968,0.048,80.8,0
Student_0017,T5_Fall,Program_D,First_Year,2,29,2.99,0.33,1.0,0,2,15,4.13,0.766,0.113,75.5,3
Student_0018,T5_Fall,Program_B,First_Year,3,59,2.53,-0.17,0.811,1,0,15,4.94,0.982,0.022,74.1,1
Student_0019,T5_Fall,Program_D,First_Year,3,63,2.11,-0.32,0.776,0,0,12,4.43,0.841,0.265,67.0,0
Student_0020,T5_Fall,Program_B,First_Year,1,3,2.67,0.04,0.938,0,0,18,2.77,0.866,0.208,67.3,1
Student_0021,T5_Fall,Program_B,First_Year,3,62,2.6,0.37,0.761,0,0,12,2.08,0.822,0.4,73.7,5
Student_0022,T5_Fall,Program_D,Transfer,4,82,3.7,0.13,0.902,0,0,15,3.33,0.839,0.086,94.9,6
Student_0023,T5_Fall,Program_C,First_Year,4,82,1.66,1.0,0.728,1,0,15,5.34,0.952,0.223,80.7,1
Student_0024,T5_Fall,Program_D,First_Year,3,68,2.85,0.43,0.899,0,0,15,5.92,0.967,0.0,91.4,3
Student_0025,T5_Fall,Program_C,Transfer,3,72,2.55,0.04,0.767,1,0,12,5.03,0.859,0.094,74.9,0
Student_0026,T5_Fall,Program_C,First_Year,2,45,3.18,-0.1,0.939,1,0,9,4.61,0.993,0.12,88.9,0
Student_0027,T5_Fall,Program_D,Transfer,3,75,2.8,0.26,0.969,0,0,15,4.73,0.908,0.077,77.3,0
Student_0028,T5_Fall,Program_C,First_Year,1,14,3.08,-0.19,0.904,0,0,12,2.79,0.726,0.318,80.0,4
Student_0029,T5_Fall,Program_A,First_Year,2,36,2.7,-0.05,0.96,0,2,18,3.69,0.824,0.111,68.5,4
Student_0030,T5_Fall,Program_D,Transfer,2,31,2.21,-0.34,0.786,0,0,15,3.19,0.742,0.17,63.2,7
Student_0031,T5_Fall,Program_D,First_Year,2,36,3.15,0.13,0.95,0,0,12,3.39,0.912,0.126,76.0,0
Student_0032,T5_Fall,Program_A,Transfer,4,85,2.65,0.32,0.828,0,0,15,5.12,1.0,0.0,72.4,0
Student_0033,T5_Fall,Program_D,Transfer,1,25,3.07,-0.17,0.824,1,0,12,3.83,0.556,0.214,73.3,1
Student_0034,T5_Fall,Program_B,First_Year,1,9,2.91,0.37,0.881,0,0,12,5.12,0.925,0.0,77.0,1
Student_0035,T5_Fall,Program_A,First_Year,2,43,2.68,0.22,0.835,0,0,15,3.2,0.778,0.208,62.7,1
Student_0036,T5_Fall,Program_A,Transfer,2,51,2.93,0.07,0.826,0,0,9,4.01,0.936,0.157,78.9,3
Student_0037,T5_Fall,Program_C,First_Year,1,7,2.95,0.35,0.736,2,0,15,4.81,0.862,0.254,94.8,6
Student_0038,T5_Fall,Program_B,First_Year,2,29,3.06,-0.54,0.775,0,1,12,4.0,0.754,0.322,62.5,2
Student_0039,T5_Fall,Program_B,First_Year,3,78,2.22,-0.05,0.683,2,0,18,3.59,0.862,0.253,78.0,5
Student_0040,T5_Fall,Program_B,Transfer,1,7,3.23,-0.41,1.0,0,0,18,5.76,1.0,0.109,100.0,0
Student_0041,T5_Fall,Program_A,First_Year,3,74,2.25,0.11,0.718,1,0,15,3.97,0.966,0.256,59.6,0
Student_0042,T5_Fall,Program_C,Transfer,2,45,2.55,0.51,0.866,1,2,18,5.52,0.897,0.153,89.6,0
Student_0043,T5_Fall,Program_C,First_Year,2,30,2.36,-0.46,0.853,0,0,12,5.15,0.852,0.273,69.9,0
Student_0044,T5_Fall,Program_D,First_Year,2,54,2.86,-0.18,0.719,1,0,12,5.22,0.856,0.216,84.7,0
Student_0045,T5_Fall,Program_A,Transfer,2,35,2.62,0.33,0.887,0,1,15,4.95,0.975,0.164,99.7,2
Student_0046,T5_Fall,Program_C,First_Year,1,3,3.91,0.04,0.999,0,0,15,3.54,1.0,0.037,95.2,3
Student_0047,T5_Fall,Program_B,First_Year,4,91,2.55,0.95,0.617,3,0,15,4.81,0.856,0.199,82.9,2
Student_0048,T5_Fall,Program_A,Transfer,3,66,2.73,0.01,0.804,1,1,12,3.57,0.729,0.178,73.9,6
Student_0049,T5_Fall,Program_D,First_Year,2,27,3.11,0.21,0.986,0,0,18,4.88,0.948,0.228,93.7,0
Student_0050,T5_Fall,Program_D,Transfer,4,105,2.11,0.46,0.797,1,0,12,4.35,0.886,0.017,65.3,0
Student_0051,T5_Fall,Program_B,Transfer,1,19,3.53,-0.04,1.0,0,0,15,5.02,0.892,0.053,89.2,5
Student_0052,T5_Fall,Program_A,Transfer,1,22,3.45,-0.29,0.689,2,0,9,1.7,0.848,0.095,75.0,5
Student_0053,T5_Fall,Program_B,First_Year,1,14,1.99,0.11,0.822,0,0,12,3.57,0.799,0.215,59.3,1
Student_0054,T5_Fall,Program_C,Transfer,4,106,2.93,-0.03,0.896,0,0,12,3.94,0.808,0.251,78.7,0
Student_0055,T5_Fall,Program_B,First_Year,4,99,3.08,0.56,0.786,1,1,15,2.58,0.987,0.098,85.9,8
Student_0056,T5_Fall,Program_B,Transfer,3,75,2.66,0.07,0.766,1,0,15,4.25,0.962,0.026,76.8,2
Student_0057,T5_Fall,Program_A,First_Year,4,108,2.67,-0.13,0.892,0,0,9,4.26,1.0,0.101,73.1,0
Student_0058,T5_Fall,Program_A,First_Year,3,66,2.39,-0.23,0.879,0,0,12,0.94,0.723,0.261,65.4,4
Student_0059,T5_Fall,Program_C,First_Year,1,25,3.24,0.17,0.962,0,0,18,3.89,0.854,0.0,79.2,3
Student_0060,T5_Fall,Program_A,Transfer,2,53,2.75,-0.07,0.869,0,1,12,4.41,0.937,0.131,78.5,0
Student_0061,T5_Fall,Program_D,First_Year,2,53,3.0,0.11,0.954,0,0,18,5.53,0.989,0.0,83.6,0
Student_0062,T5_Fall,Program_C,Transfer,3,61,2.48,0.06,0.721,0,0,15,2.65,0.77,0.284,63.0,4
Student_0063,T5_Fall,Program_B,First_Year,2,36,2.99,-0.36,0.95,0,0,18,5.47,0.919,0.17,88.7,1
Student_0064,T5_Fall,Program_A,First_Year,4,106,2.05,0.03,0.757,1,0,12,6.54,0.979,0.041,89.7,0
Student_0065,T5_Fall,Program_A,First_Year,3,62,3.16,0.16,0.555,3,1,15,4.85,0.884,0.053,79.5,2
Student_0066,T5_Fall,Program_D,First_Year,2,51,3.03,0.29,0.937,0,0,12,5.62,0.937,0.131,74.0,1
Student_0067,T5_Fall,Program_D,First_Year,1,19,3.29,-0.06,0.948,0,0,15,2.68,0.881,0.101,89.8,3
Student_0068,T5_Fall,Program_C,First_Year,3,57,3.3,-0.79,0.788,0,0,12,2.07,0.809,0.468,69.9,2
Student_0069,T5_Fall,Program_D,First_Year,2,52,3.16,0.54,0.917,0,0,15,4.34,1.0,0.202,83.6,4
Student_0070,T5_Fall,Program_C,Transfer,2,47,2.86,-0.15,0.695,1,1,18,4.27,0.724,0.277,80.2,2
Student_0071,T5_Fall,Program_A,Transfer,3,80,2.77,0.04,0.934,0,0,18,5.19,0.93,0.172,79.5,0
Student_0072,T5_Fall,Program_D,First_Year,1,13,2.36,0.39,0.785,1,0,18,4.55,0.971,0.281,64.6,2
Student_0073,T5_Fall,Program_D,First_Year,4,85,3.63,-0.69,0.928,0,0,15,3.2,0.773,0.34,98.2,7
Student_0074,T5_Fall,Program_D,First_Year,3,67,2.26,-0.24,0.869,0,0,15,4.47,0.788,0.223,64.9,0
Student_0075,T5_Fall,Program_B,First_Year,3,77,1.91,0.01,0.703,0,0,15,4.24,0.915,0.107,73.0,1
Student_0076,T5_Fall,Program_C,First_Year,1,19,2.6,-0.2,0.775,0,1,15,2.93,0.837,0.189,63.9,2
Student_0077,T5_Fall,Program_D,Transfer,3,66,3.22,0.92,0.869,1,0,15,5.22,1.0,0.085,98.6,0
Student_0078,T5_Fall,Program_D,Transfer,2,27,3.39,-0.08,1.0,0,0,15,3.36,0.754,0.183,78.6,3
Student_0079,T5_Fall,Program_A,First_Year,4,88,2.77,-0.39,0.814,0,0,9,4.55,0.865,0.235,82.2,3
Student_0080,T5_Fall,Program_C,Transfer,2,29,3.19,0.31,1.0,0,1,15,4.81,0.984,0.04,91.6,0
Student_0081,T5_Fall,Program_B,First_Year,1,13,3.74,0.34,0.966,0,0,12,5.76,0.959,0.141,98.5,0
Student_0082,T5_Fall,Program_B,Transfer,2,51,3.11,-0.17,0.934,0,0,12,4.07,0.943,0.225,85.8,1
Student_0083,T5_Fall,Program_B,First_Year,4,81,3.26,0.87,0.936,0,1,15,5.78,1.0,0.0,94.9,1
Student_0084,T5_Fall,Program_A,First_Year,2,41,1.75,0.25,0.649,2,1,12,3.99,0.774,0.26,88.8,0
Student_0085,T5_Fall,Program_A,First_Year,2,35,2.66,-0.16,0.657,2,0,15,3.68,0.782,0.404,56.6,2
Student_0086,T5_Fall,Program_A,First_Year,4,94,2.91,-0.09,0.913,1,0,15,4.56,0.984,0.108,81.8,0
Student_0087,T5_Fall,Program_C,Transfer,1,11,2.19,-0.38,0.81,0,0,18,3.39,0.908,0.165,78.2,4
Student_0088,T5_Fall,Program_D,First_Year,4,107,2.43,0.33,0.789,1,0,15,6.48,0.885,0.109,91.5,1
Student_0089,T5_Fall,Program_D,First_Year,4,105,2.26,-0.09,0.652,1,0,12,2.14,0.892,0.057,77.2,2
Student_0090,T5_Fall,Program_C,First_Year,3,57,2.72,0.26,0.818,1,0,12,5.19,0.937,0.0,87.7,0
Student_0091,T5_Fall,Program_C,First_Year,4,96,3.6,-0.26,0.912,0,1,12,5.31,0.813,0.241,100.0,0
Student_0092,T5_Fall,Program_A,First_Year,2,52,3.26,-0.64,0.78,1,0,12,3.68,0.741,0.135,77.2,7
Student_0093,T5_Fall,Program_C,First_Year,2,27,2.35,0.06,0.655,2,0,15,4.09,0.959,0.068,72.2,2
Student_0094,T5_Fall,Program_B,First_Year,3,80,2.89,0.51,0.877,1,0,18,6.63,1.0,0.0,83.7,0
Student_0095,T5_Fall,Program_B,Transfer,4,108,3.26,-0.13,0.843,1,0,18,4.06,0.864,0.09,90.4,0
Student_0096,T5_Fall,Program_B,Transfer,1,16,2.66,0.34,0.946,0,0,12,5.74,1.0,0.079,78.5,4
Student_0097,T5_Fall,Program_A,First_Year,4,103,2.01,0.09,0.687,0,1,15,3.63,0.78,0.119,64.7,2
Student_0098,T5_Fall,Program_D,First_Year,2,29,2.22,-0.59,0.766,1,0,18,5.16,0.898,0.096,56.6,2
Student_0099,T5_Fall,Program_D,First_Year,4,89,3.73,-0.04,0.876,0,0,15,3.18,0.865,0.183,72.5,2
Student_0100,T5_Fall,Program_A,First_Year,1,16,3.52,0.12,0.83,0,0,12,3.82,0.983,0.077,74.3,0
Student_0101,T5_Fall,Program_B,First_Year,4,99,2.16,0.06,0.851,0,0,12,2.6,0.749,0.307,61.8,5
Student_0102,T5_Fall,Program_B,First_Year,3,74,2.76,-0.25,0.822,0,1,12,3.6,0.733,0.236,67.5,2
Student_0103,T5_Fall,Program_D,Transfer,3,73,3.07,0.25,0.963,0,0,9,3.5,0.968,0.15,85.2,5
Student_0104,T5_Fall,Program_B,Transfer,2,34,3.21,0.01,1.0,0,0,15,4.2,0.982,0.125,82.1,0
Student_0105,T5_Fall,Program_A,Transfer,1,1,1.7,-0.8,0.765,0,0,12,3.35,0.869,0.305,65.6,2
Student_0106,T5_Fall,Program_C,First_Year,1,15,4.0,-0.05,0.947,0,0,9,4.31,0.825,0.302,100.0,4
Student_0107,T5_Fall,Program_D,Transfer,1,25,2.76,0.54,0.891,0,0,9,4.16,0.983,0.176,74.8,0
Student_0108,T5_Fall,Program_C,Transfer,3,66,2.73,-0.07,0.913,0,0,15,3.89,0.79,0.1,70.5,1
Student_0109,T5_Fall,Program_A,First_Year,3,61,3.23,-0.07,1.0,0,0,15,4.19,0.916,0.052,89.8,4
Student_0110,T5_Fall,Program_D,Transfer,1,11,1.4,-0.03,0.838,0,0,18,6.37,0.943,0.127,50.9,0
Student_0111,T5_Fall,Program_C,First_Year,4,101,2.65,-0.24,0.759,0,1,18,5.21,0.858,0.192,85.3,2
Student_0112,T5_Fall,Program_B,First_Year,1,7,1.61,0.77,0.845,0,0,18,5.01,0.978,0.105,62.4,0
Student_0113,T5_Fall,Program_D,First_Year,1,23,2.35,-0.02,0.789,0,0,15,4.77,0.786,0.034,85.2,4
Student_0114,T5_Fall,Program_B,First_Year,2,38,2.53,-0.12,0.884,0,0,9,3.51,0.911,0.257,61.6,1
Student_0115,T5_Fall,Program_A,Transfer,3,79,1.72,-0.09,0.636,2,0,15,4.08,0.706,0.289,73.1,2
Student_0116,T5_Fall,Program_C,First_Year,3,62,2.64,0.16,0.915,1,2,15,2.45,0.962,0.189,63.0,1
Student_0117,T5_Fall,Program_A,Transfer,3,68,3.31,0.14,0.726,1,0,15,3.83,0.913,0.049,76.8,4
Student_0118,T5_Fall,Program_A,First_Year,3,73,3.07,-0.3,0.861,1,0,18,3.48,0.968,0.115,100.0,4
Student_0119,T5_Fall,Program_C,Transfer,4,91,1.89,0.01,0.757,0,0,12,3.95,0.845,0.2,50.4,1
Student_0120,T5_Fall,Program_D,First_Year,3,79,2.41,-0.02,0.554,2,1,12,2.73,0.841,0.312,87.1,4
Student_0121,T5_Fall,Program_C,First_Year,4,105,2.11,-0.65,0.768,1,0,15,1.66,0.726,0.205,54.3,5
Student_0122,T5_Fall,Program_A,First_Year,3,79,1.43,-0.07,0.753,0,2,12,5.94,0.708,0.278,70.8,1
Student_0123,T5_Fall,Program_D,First_Year,4,102,3.23,0.05,0.839,0,2,9,1.63,0.83,0.404,66.4,4
Student_0124,T5_Fall,Program_B,Transfer,3,81,3.03,0.71,0.923,1,0,15,5.79,1.0,0.0,90.6,2
Student_0125,T5_Fall,Program_A,Transfer,4,85,2.69,-0.43,0.847,0,0,15,3.52,0.875,0.2,71.0,3
Student_0126,T5_Fall,Program_D,First_Year,3,62,2.17,-0.15,0.719,0,0,9,3.92,0.787,0.123,61.1,1
Student_0127,T5_Fall,Program_C,Transfer,1,27,1.95,0.12,0.585,1,0,15,2.34,0.777,0.292,60.7,2
Student_0128,T5_Fall,Program_B,First_Year,2,27,3.01,0.48,0.902,0,0,18,3.86,0.84,0.074,90.2,0
Student_0129,T5_Fall,Program_C,First_Year,4,87,1.97,0.01,0.623,2,0,9,4.91,0.943,0.123,51.3,0
Student_0130,T5_Fall,Program_B,First_Year,2,46,2.95,0.41,0.82,0,0,18,4.88,0.959,0.307,98.1,4
Student_0131,T5_Fall,Program_B,Transfer,3,57,2.31,-0.62,0.644,3,0,12,3.57,0.868,0.227,67.1,6
Student_0132,T5_Fall,Program_C,Transfer,3,74,2.23,0.18,0.75,1,0,18,4.44,0.916,0.098,62.1,4
Student_0133,T5_Fall,Program_A,Transfer,3,66,2.68,-0.64,0.769,1,2,12,4.86,0.868,0.306,72.3,1
Student_0134,T5_Fall,Program_C,First_Year,2,52,3.14,0.02,0.904,0,1,15,3.29,0.796,0.291,82.0,3
Student_0135,T5_Fall,Program_A,First_Year,4,101,2.76,0.08,0.846,1,2,9,4.7,0.928,0.08,89.5,1
Student_0136,T5_Fall,Program_D,Transfer,4,94,1.46,-0.32,0.725,1,0,15,3.57,0.841,0.182,59.4,2
Student_0137,T5_Fall,Program_A,First_Year,4,81,3.02,0.21,0.95,0,0,15,4.76,0.836,0.225,95.3,3
Student_0138,T5_Fall,Program_A,First_Year,2,46,3.0,0.42,0.979,0,0,12,5.41,1.0,0.0,84.0,0
Student_0139,T5_Fall,Program_C,Transfer,2,40,2.25,-0.1,0.769,0,3,15,4.08,0.904,0.337,89.1,0
Student_0140,T5_Fall,Program_A,First_Year,2,31,2.19,0.03,0.829,1,0,15,3.38,0.821,0.224,80.0,3
Student_0141,T5_Fall,Program_B,Transfer,2,31,3.8,0.24,0.891,0,0,15,3.61,0.882,0.231,90.9,1
Student_0142,T5_Fall,Program_D,Transfer,4,106,3.03,0.08,0.846,1,0,12,4.66,1.0,0.0,77.0,3
Student_0143,T5_Fall,Program_D,First_Year,2,39,3.7,-0.44,0.781,1,0,15,4.48,0.83,0.124,92.9,0
Student_0144,T5_Fall,Program_D,First_Year,2,42,3.25,-0.02,0.987,0,0,15,4.22,0.926,0.037,98.5,0
Student_0145,T5_Fall,Program_A,First_Year,4,90,3.29,0.13,0.876,0,0,12,3.68,0.982,0.0,71.6,3
Student_0146,T5_Fall,Program_B,First_Year,2,39,2.6,0.76,0.927,1,0,12,4.12,0.937,0.117,68.3,2
Student_0147,T5_Fall,Program_D,First_Year,1,20,2.74,0.06,0.857,0,0,18,4.43,0.95,0.134,88.2,0
Student_0148,T5_Fall,Program_D,First_Year,4,91,1.84,-0.03,0.597,2,1,12,5.79,1.0,0.139,79.1,1
Student_0149,T5_Fall,Program_A,Transfer,2,52,2.63,0.2,0.989,0,0,15,4.21,1.0,0.12,54.3,0
Student_0150,T5_Fall,Program_C,First_Year,3,71,2.34,0.25,0.633,3,0,9,5.96,0.963,0.069,75.5,0
Student_0151,T5_Fall,Program_B,Transfer,3,54,2.68,0.56,0.977,0,1,15,3.87,1.0,0.024,69.3,4
Student_0152,T5_Fall,Program_D,Transfer,4,84,2.53,0.1,0.798,0,0,15,4.4,0.821,0.135,86.7,1
Student_0153,T5_Fall,Program_C,Transfer,4,87,2.9,-0.24,0.838,0,0,15,2.6,0.737,0.284,81.5,5
Student_0154,T5_Fall,Program_D,Transfer,3,79,2.98,-0.2,0.875,0,0,15,4.03,0.762,0.215,90.0,0
Student_0155,T5_Fall,Program_D,Transfer,2,39,3.43,0.31,1.0,0,0,15,4.89,0.832,0.197,100.0,0
Student_0156,T5_Fall,Program_A,Transfer,1,4,2.54,-0.41,0.69,1,0,15,2.88,0.849,0.343,86.0,1
Student_0157,T5_Fall,Program_C,Transfer,1,27,2.28,-0.02,0.826,0,0,15,4.05,0.884,0.263,78.2,3
Student_0158,T5_Fall,Program_A,First_Year,2,46,3.27,0.58,0.943,0,1,15,5.13,1.0,0.176,98.6,2
Student_0159,T5_Fall,Program_B,Transfer,1,15,2.08,-0.39,0.793,1,0,15,4.83,0.943,0.051,62.4,1
Student_0160,T5_Fall,Program_D,First_Year,1,23,2.54,0.94,0.743,1,0,12,4.89,0.792,0.23,81.2,2
Student_0161,T5_Fall,Program_A,First_Year,1,24,2.5,0.3,0.833,0,0,18,3.98,0.899,0.227,77.4,1
Student_0162,T5_Fall,Program_C,First_Year,3,65,2.62,0.17,0.937,0,0,15,3.42,0.926,0.316,94.1,2
Student_0163,T5_Fall,Program_C,Transfer,2,48,2.33,-0.17,0.802,0,1,15,4.56,1.0,0.048,60.0,2
Student_0164,T5_Fall,Program_C,First_Year,2,40,3.03,0.05,0.906,0,0,15,3.59,0.888,0.103,75.3,0
Student_0165,T5_Fall,Program_A,First_Year,4,98,2.25,0.15,0.837,0,0,15,2.81,0.838,0.295,67.2,3
Student_0166,T5_Fall,Program_C,First_Year,1,15,3.06,-0.57,0.906,0,1,15,4.37,0.845,0.308,83.3,0
Student_0167,T5_Fall,Program_C,First_Year,2,50,3.37,-0.56,1.0,0,0,9,1.6,0.794,0.199,77.0,9
Student_0168,T5_Fall,Program_D,First_Year,3,69,3.4,-0.57,0.876,1,0,12,3.4,0.783,0.213,80.6,1
Student_0169,T5_Fall,Program_B,Transfer,3,69,2.81,-0.03,0.831,0,1,15,3.93,0.827,0.199,63.9,4
Student_0170,T5_Fall,Program_C,Transfer,1,26,2.63,-0.81,0.861,0,0,15,3.29,0.742,0.233,71.7,2
Student_0171,T5_Fall,Program_C,Transfer,2,39,2.91,0.63,0.896,0,0,12,5.49,0.875,0.103,100.0,2
Student_0172,T5_Fall,Program_A,First_Year,2,48,2.8,0.02,0.967,0,0,15,4.56,0.805,0.11,91.8,0
Student_0173,T5_Fall,Program_B,Transfer,3,64,2.2,-0.04,0.496,3,0,12,3.55,1.0,0.217,58.8,5
Student_0174,T5_Fall,Program_A,First_Year,3,75,2.45,0.05,0.977,0,0,12,3.32,0.851,0.218,64.9,5
Student_0175,T5_Fall,Program_C,Transfer,2,27,2.78,0.47,0.87,1,0,12,5.15,0.992,0.08,82.5,0
Student_0176,T5_Fall,Program_D,First_Year,4,99,2.5,-0.11,0.925,0,0,18,5.38,0.941,0.057,92.5,0
Student_0177,T5_Fall,Program_D,Transfer,3,60,2.41,-0.1,0.812,0,0,15,4.03,0.814,0.291,85.6,0
Student_0178,T5_Fall,Program_B,First_Year,1,0,3.24,-0.78,0.922,0,0,18,4.62,0.795,0.19,84.1,0
Student_0179,T5_Fall,Program_C,First_Year,1,13,3.39,-0.11,0.806,1,0,9,4.76,0.732,0.185,87.1,4
Student_0180,T5_Fall,Program_A,Transfer,2,45,3.13,-0.3,0.785,1,0,15,4.58,0.75,0.25,93.2,1
Student_0181,T5_Fall,Program_C,Transfer,2,41,2.88,-0.44,0.712,2,0,9,2.48,0.883,0.318,67.5,5
Student_0182,T5_Fall,Program_A,First_Year,2,30,2.65,-0.24,0.796,0,0,15,2.1,0.703,0.161,61.8,2
Student_0183,T5_Fall,Program_D,First_Year,2,34,1.9,0.01,0.756,0,0,12,3.1,0.707,0.396,93.0,0
Student_0184,T5_Fall,Program_B,First_Year,3,80,2.22,-0.31,0.794,0,1,12,3.17,0.882,0.143,71.7,2
Student_0185,T5_Fall,Program_B,First_Year,2,48,2.33,0.53,0.944,0,0,12,5.02,1.0,0.119,95.6,1
Student_0186,T5_Fall,Program_A,First_Year,1,23,2.32,-0.06,0.63,1,0,9,4.18,0.995,0.219,59.4,1
Student_0187,T5_Fall,Program_D,First_Year,1,24,2.88,-0.03,0.941,0,0,15,2.92,0.889,0.222,88.0,1
Student_0188,T5_Fall,Program_D,First_Year,3,70,3.1,-0.21,0.94,0,0,12,4.46,1.0,0.084,55.3,1
Student_0189,T5_Fall,Program_C,First_Year,3,70,2.39,0.08,0.859,1,1,15,5.35,0.808,0.07,72.7,0
Student_0190,T5_Fall,Program_D,Transfer,3,75,1.97,-0.17,0.595,3,0,18,4.88,0.795,0.175,66.0,1
Student_0191,T5_Fall,Program_C,First_Year,4,106,3.02,-0.04,0.825,1,0,12,3.91,0.876,0.212,73.3,3
Student_0192,T5_Fall,Program_B,First_Year,2,36,2.78,-0.59,0.923,0,1,12,3.35,0.681,0.36,86.0,3
Student_0193,T5_Fall,Program_C,Transfer,3,63,3.0,0.05,0.735,2,0,18,5.51,1.0,0.273,70.0,3
Student_0194,T5_Fall,Program_A,First_Year,3,81,2.27,-0.02,0.819,0,0,15,5.0,0.949,0.132,75.2,2
Student_0195,T5_Fall,Program_D,First_Year,3,81,3.06,-0.31,0.854,0,2,18,1.37,0.81,0.247,82.9,4
Student_0196,T5_Fall,Program_B,First_Year,1,8,2.26,-0.21,0.45,3,1,15,2.56,0.78,0.309,66.3,3
Student_0197,T5_Fall,Program_B,First_Year,1,7,3.03,-0.15,0.937,0,0,15,4.47,0.907,0.071,75.3,6
Student_0198,T5_Fall,Program_B,First_Year,1,4,3.33,-0.01,0.925,0,1,15,5.1,0.826,0.164,79.5,1
Student_0199,T5_Fall,Program_A,First_Year,4,89,1.85,-0.07,0.727,0,0,18,3.04,0.969,0.246,57.1,2
Student_0200,T5_Fall,Program_B,First_Year,1,27,2.03,-0.01,0.781,0,0,15,5.39,0.872,0.261,60.7,0
Student_0201,T5_Fall,Program_A,Transfer,3,79,2.23,0.17,0.885,0,1,15,5.38,0.926,0.124,67.1,2
Student_0202,T5_Fall,Program_A,Transfer,1,1,3.11,-0.08,0.753,1,0,12,2.62,0.701,0.284,77.9,3
Student_0203,T5_Fall,Program_D,Transfer,1,0,3.35,0.0,0.928,0,1,12,3.31,0.863,0.216,97.6,3
Student_0204,T5_Fall,Program_B,First_Year,2,46,2.56,0.05,0.78,0,1,12,1.86,0.748,0.311,60.0,4
Student_0205,T5_Fall,Program_D,First_Year,1,4,3.18,-0.11,0.943,0,0,12,4.64,0.824,0.21,85.4,4
Student_0206,T5_Fall,Program_C,First_Year,1,25,1.94,0.01,0.831,0,2,15,3.8,0.876,0.183,67.6,1
Student_0207,T5_Fall,Program_D,First_Year,1,27,2.78,-0.17,0.837,1,0,15,2.99,1.0,0.117,70.8,2
Student_0208,T5_Fall,Program_A,First_Year,2,51,2.79,-0.36,0.739,1,0,15,3.43,0.76,0.198,79.9,2
Student_0209,T5_Fall,Program_B,Transfer,3,79,3.36,-0.19,0.906,0,0,18,3.71,0.802,0.192,82.6,0
Student_0210,T5_Fall,Program_A,First_Year,2,37,2.75,0.44,0.783,1,0,9,5.41,0.884,0.112,83.1,0
Student_0211,T5_Fall,Program_B,Transfer,1,9,2.69,-0.45,0.778,0,0,15,5.15,0.911,0.12,80.8,0
Student_0212,T5_Fall,Program_A,Transfer,2,44,3.58,0.35,0.98,0,0,15,4.41,1.0,0.0,87.0,4
Student_0213,T5_Fall,Program_B,First_Year,2,43,3.05,0.37,0.865,0,1,15,2.08,0.828,0.15,83.7,5
Student_0214,T5_Fall,Program_D,First_Year,1,9,2.37,-0.25,0.884,0,0,12,3.08,0.774,0.156,65.3,1
